l_id,r_id
altosight_320,altosight_458
altosight_103,altosight_278
altosight_070,altosight_330
altosight_363,altosight_617
altosight_788,altosight_791
altosight_389,altosight_657
altosight_364,altosight_462
altosight_092,altosight_758
altosight_660,altosight_676
altosight_226,altosight_771
altosight_684,altosight_735
altosight_233,altosight_486
altosight_791,altosight_803
altosight_693,altosight_719
altosight_130,altosight_425
altosight_288,altosight_499
altosight_232,altosight_548
altosight_429,altosight_443
altosight_192,altosight_195
altosight_304,altosight_401
altosight_314,altosight_829
altosight_089,altosight_205
altosight_059,altosight_260
altosight_146,altosight_703
altosight_204,altosight_209
altosight_684,altosight_783
altosight_096,altosight_304
altosight_457,altosight_735
altosight_366,altosight_372
altosight_358,altosight_543
altosight_204,altosight_312
altosight_312,altosight_352
altosight_292,altosight_474
altosight_023,altosight_300
altosight_308,altosight_364
altosight_208,altosight_787
altosight_267,altosight_444
altosight_204,altosight_791
altosight_288,altosight_710
altosight_359,altosight_649
altosight_456,altosight_474
altosight_476,altosight_565
altosight_105,altosight_205
altosight_641,altosight_771
altosight_337,altosight_813
altosight_234,altosight_289
altosight_023,altosight_760
altosight_441,altosight_547
altosight_245,altosight_509
altosight_235,altosight_274
altosight_303,altosight_716
altosight_487,altosight_830
altosight_724,altosight_725
altosight_214,altosight_827
altosight_286,altosight_445
altosight_435,altosight_460
altosight_798,altosight_806
altosight_229,altosight_437
altosight_043,altosight_830
altosight_186,altosight_322
altosight_472,altosight_826
altosight_166,altosight_806
altosight_052,altosight_420
altosight_224,altosight_469
altosight_239,altosight_249
altosight_265,altosight_280
altosight_045,altosight_566
altosight_267,altosight_714
altosight_351,altosight_762
altosight_162,altosight_435
altosight_360,altosight_666
altosight_517,altosight_523
altosight_052,altosight_055
altosight_241,altosight_288
altosight_169,altosight_303
altosight_108,altosight_115
altosight_460,altosight_790
altosight_107,altosight_643
altosight_003,altosight_253
altosight_408,altosight_504
altosight_477,altosight_664
altosight_568,altosight_626
altosight_131,altosight_662
altosight_510,altosight_511
altosight_538,altosight_699
altosight_370,altosight_613
altosight_445,altosight_639
altosight_362,altosight_439
altosight_416,altosight_729
altosight_282,altosight_408
altosight_538,altosight_792
