_id,description,brand,model,type,mp,price
buy.net//4272,"nikon coolpix s800c white digital camera (16 megapixel - 3.5"" touchscreen oled - 10x optical zoom - optical, electronic is - 4608 x 3456 image - 1920 x 1080 video - hdmi - pictbridge - hd movie mode) price comparison at buy.net",nikon,s800c,compact camera,16.0,
buy.net//4299,nikon aw1 silver 14.2 megapixel digital camera - 27666 price comparison at buy.net,nikon,aw1,,14.2,
buy.net//4319,"nikon d5300 black slr digital camera kit w/ 18-140 mm vr lens (24.2 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",nikon,d5300,digital slr camera,24.2,
buy.net//4330,"sony alpha slta77vm black slr digital camera kit w/ 18*135mm lens (24.3 mp, 7.5x opt, memory stick pro duo/pro-hg duo/pro-hg hx duo/sd/sdhc/sdxc card slot) price comparison at buy.net",sony,slta77vm,mirrorless camera,24.3,
buy.net//5368,"nikon d3300 black slr digital camera kit w/ 18-55 mm lens (24.2 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",nikon,d3300,digital slr camera,24.2,
buy.net//5370,"nikon coolpix l820 red digital camera (16 mp, 30x opt, sd/sdhc/sdxc card slot) price comparison at buy.net",nikon,l820,compact camera,16.0,
buy.net//5372,"olympus om-d e-m5 black digital camera body only (16.1 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",olympus,e-m5,mirrorless camera,16.1,
buy.net//5388,"polaroid z2300 black digital camera (10 mp, 1x opt, sd/sdhc card slot) price comparison at buy.net",polaroid,z2300,point & shoot digital camera,10.0,
buy.net//5389,"canon powershot sd780 is 12.1 megapixel compact camera - silver (2.5"" lcd - 3x optical zoom - 4000 x 3000 image - 1280 x 720 video - hdmi - pictbridge - hd movie mode) price comparison at buy.net",canon,sd780,compact camera,12.1,
buy.net//5391,"canon eos rebel t3i black slr digital camera kit w/ 18-55mm lens (18 mp, 3x opt, sd/sdhc/sdxc card slot) price comparison at buy.net",canon,t3i,digital slr camera,18.0,
buy.net//5408,"sony cyber-shot dsc-rx1r/b black digital camera (24.3 mp, 2x opt, stick pro duo/pro-hg duo/pro-hg hx duo/sd/sdxc/sdhc card slot) price comparison at buy.net",sony,dsc-rx1r,compact camera,24.3,
buy.net//5413,"sony cyber-shot dsc-tx30 18.2 megapixel compact camera - orange (3.3"" touchscreen oled - 5x optical zoom - optical is - 4896 x 3672 image - 1920 x 1080 video - hdmi - hd movie mode) price comparison at buy.net",sony,dsc-tx30,compact camera,18.2,
buy.net//5439,"canon eos 5d mark iii black slr digital camera kit w/ 24-70 mm lens (22.3 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",canon,5d mark iii,digital slr camera,22.3,
buy.net//5459,"nikon j1 red digital camera kit w/ 10-30mm & 30-110mm lens (10.1 mp, 3.7x opt, sd/sdhc/sdxc card slot) price comparison at buy.net",nikon,j1,mirrorless camera,10.1,
buy.net//5473,"canon powershot sx160 is red digital camera (16 mp, 16x opt, sd/sdhc/sdxc card slot) price comparison at buy.net",canon,sx160,compact camera,16.0,
buy.net//5484,"sony alpha ilce-5000l 20.1 megapixel mirrorless camera body with lens kit - 16 mm - 50 mm - white (3"" lcd - 3.1x optical zoom - 5456 x 3632 image - 1920 x 1080 video - hdmi - hd movie mode) price comparison at buy.net",sony,ilce-5000l,mirrorless camera,20.1,
buy.net//5503,"canon eos rebel t3i black slr digital camera - body only (18mp, sd/sdhc/sdxc card slot) price comparison at buy.net",canon,t3i,digital slr camera,18.0,
buy.net//5504,"canon powershot elph 530 hs black digital camera (10.1 mp, 12x opt) price comparison at buy.net",canon,elph 530,compact camera,10.1,
buy.net//5545,"fujifilm x-e2 silver digital camera kit w/ 18-55 mm lens (16.3 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",fujifilm,x-e2,mirrorless interchangeable lens camera,16.3,
buy.net//5549,"sony cyber-shot dsc-hx300 black digital camera (20.4 mp, 50x opt, ms/sd card slot) price comparison at buy.net",sony,dsc-hx300,compact camera,20.4,
buy.net//5556,"olympus pen e-pm2 16.1 megapixel mirrorless camera body only - black (3"" touchscreen lcd - electronic, optical is - 4608 x 3456 image - 1920 x 1080 video - hdmi - pictbridge - hd movie mode) price comparison at buy.net",olympus,e-pm2,mirrorless camera,16.1,
buy.net//5563,"nikon coolplix p340 black digital camera (12.2 mp, 5x opt, sd/sdhc/sdxc card slot, 56 mb) price comparison at buy.net",nikon,p340,point & shoot digital camera,12.2,
buy.net//5572,"canon eos rebel t1i 15.1 megapixel digital slr camera body with lens kit - 18 mm - 55 mm (3"" lcd - 3.1x optical zoom - 4752 x 3168 image - hdmi) price comparison at buy.net",canon,t1i,digital slr camera,15.1,
buy.net//5596,"sony cyber-shot rx100 black digital camera (20.2 mp, 3.6x opt, ms/ms pro duo/sd/sdhc/sdxc card slot) price comparison at buy.net",sony,rx100,compact camera,20.2,
buy.net//5602,"pentax k-50 white slr digital camera (16.3 mp, sd/sdxc/sdhc card slot) price comparison at buy.net",pentax,k-50,digital slr camera,16.3,
buy.net//5613,"fujifilm x-e2 silver digital camera kit w/ 18-55 mm lens (16.3 mp, sd/sdxc/sdhc card slot) price comparison at buy.net",fujifilm,x-e2,mirrorless interchangeable lens camera,16.3,
buy.net//5622,"olympus pen e-pm2 16.1 megapixel mirrorless camera body only - white (3"" touchscreen lcd - electronic, optical is - 4608 x 3456 image - 1920 x 1080 video - hdmi - pictbridge - hd movie mode) price comparison at buy.net",olympus,e-pm2,mirrorless camera,16.1,
buy.net//5635,"pentax k-3 black slr digital camera - body only (23.35 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",pentax,k-3,digital slr camera,23.4,
buy.net//5640,"fujifilm x-e2 black digital camera (16.3 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",fujifilm,x-e2,mirrorless interchangeable lens camera,16.3,
buy.net//5641,"nikon d4 black slr digital camera - body only (16.2 mp, compactflash card slot) price comparison at buy.net",nikon,d4,digital slr camera,16.2,
buy.net//5648,"olympus om-d e-m1 black slr digital camera - body only (16.28 mp, sd/sdhc/sdxc) price comparison at buy.net",olympus,e-m1,digital slr camera,16.3,
buy.net//5687,"fujifilm finepix s9200 16.2 megapixel bridge camera - black (3"" lcd - 50x optical zoom - optical is - 4608 x 3456 image - 1920 x 1080 video - hdmi - hd movie mode) price comparison at buy.net",fujifilm,s9200,bridge camera,16.2,
