l_id,r_id
www.ebay.com//46771,www.gosale.com//890
www.ebay.com//47592,www.gosale.com//1441
www.ebay.com//55710,www.gosale.com//1304
www.camerafarm.com.au//793,www.gosale.com//1271
www.camerafarm.com.au//730,www.walmart.com//786
www.ebay.com//41893,www.gosale.com//626
www.camerafarm.com.au//813,www.ebay.com//58869
www.ebay.com//55209,www.gosale.com//902
www.ebay.com//43489,www.gosale.com//783
www.ebay.com//58641,www.gosale.com//521
www.ebay.com//44348,www.gosale.com//592
www.camerafarm.com.au//721,www.ebay.com//57363
www.ebay.com//24865,www.gosale.com//432
www.ebay.com//46441,www.gosale.com//985
www.ebay.com//53297,www.gosale.com//1188
www.ebay.com//60552,www.gosale.com//785
www.ebay.com//53882,www.gosale.com//1404
www.ebay.com//48982,www.gosale.com//886
www.gosale.com//1300,www.gosale.com//1473
www.camerafarm.com.au//729,www.ebay.com//47093
buy.net//6594,www.gosale.com//419
www.ebay.com//43191,www.gosale.com//555
www.ebay.com//24397,www.gosale.com//601
www.camerafarm.com.au//807,www.ebay.com//54829
www.ebay.com//43688,www.gosale.com//555
www.camerafarm.com.au//788,www.gosale.com//919
www.ebay.com//60854,www.gosale.com//937
www.camerafarm.com.au//810,www.ebay.com//54436
www.camerafarm.com.au//729,www.ebay.com//44159
www.ebay.com//53447,www.gosale.com//1270
www.ebay.com//46217,www.gosale.com//419
www.gosale.com//1094,www.gosale.com//1288
www.ebay.com//48446,www.gosale.com//495
www.buzzillions.com//2216,www.gosale.com//907
www.ebay.com//45933,www.gosale.com//879
www.camerafarm.com.au//730,www.ebay.com//44526
www.ebay.com//53224,www.gosale.com//856
www.ebay.com//24229,www.gosale.com//930
www.camerafarm.com.au//760,www.ebay.com//60149
www.ebay.com//60077,www.gosale.com//1439
www.ebay.com//53226,www.gosale.com//1264
www.ebay.com//47357,www.gosale.com//1175
buy.net//6142,www.gosale.com//1348
www.ebay.com//60137,www.gosale.com//1351
cammarkt.com//95,www.gosale.com//832
www.camerafarm.com.au//759,www.ebay.com//47514
www.ebay.com//55897,www.gosale.com//1399
www.camerafarm.com.au//813,www.ebay.com//53447
www.camerafarm.com.au//710,www.ebay.com//45946
www.camerafarm.com.au//788,www.ebay.com//47700
www.ebay.com//45972,www.gosale.com//1351
www.gosale.com//1125,www.pcconnection.com//4459
buy.net//6417,www.gosale.com//450
www.ebay.com//47749,www.gosale.com//905
www.ebay.com//23872,www.gosale.com//420
www.ebay.com//58124,www.gosale.com//922
www.ebay.com//41981,www.gosale.com//1431
www.ebay.com//54004,www.gosale.com//886
www.ebay.com//42204,www.gosale.com//794
www.ebay.com//60885,www.gosale.com//1499
www.camerafarm.com.au//810,www.ebay.com//59194
www.camerafarm.com.au//759,www.ebay.com//47216
www.ebay.com//44639,www.gosale.com//1188
cammarkt.com//48,www.gosale.com//1184
cammarkt.com//385,www.gosale.com//488
www.ebay.com//55181,www.gosale.com//397
www.ebay.com//56434,www.gosale.com//901
www.ebay.com//54870,www.gosale.com//495
www.ebay.com//44891,www.gosale.com//572
www.gosale.com//450,www.gosale.com//806
www.ebay.com//59406,www.gosale.com//785
www.ebay.com//45945,www.gosale.com//886
www.ebay.com//52838,www.gosale.com//949
www.camerafarm.com.au//720,www.ebay.com//52693
www.ebay.com//46404,www.gosale.com//1439
www.gosale.com//516,www.gosale.com//899
www.gosale.com//901,www.gosale.com//969
www.camerafarm.com.au//822,www.ebay.com//55879
www.ebay.com//45233,www.gosale.com//837
www.ebay.com//56145,www.gosale.com//1318
www.ebay.com//56319,www.gosale.com//1437
www.ebay.com//56864,www.gosale.com//398
www.gosale.com//1397,www.gosale.com//988
www.ebay.com//48136,www.gosale.com//415
www.ebay.com//53792,www.gosale.com//1075
www.gosale.com//740,www.gosale.com//864
www.ebay.com//46594,www.gosale.com//982
buy.net//5439,www.gosale.com//798
www.camerafarm.com.au//822,www.ebay.com//48230
www.ebay.com//42233,www.gosale.com//762
www.ebay.com//59736,www.gosale.com//1183
www.ebay.com//41946,www.gosale.com//1296
www.ebay.com//58599,www.gosale.com//813
www.ebay.com//46999,www.gosale.com//879
www.ebay.com//52875,www.gosale.com//586
www.ebay.com//43293,www.gosale.com//1121
www.camerafarm.com.au//788,www.ebay.com//42174
www.ebay.com//60308,www.gosale.com//495
www.camerafarm.com.au//813,www.ebay.com//45064
www.camerafarm.com.au//822,www.ebay.com//54254
www.buzzillions.com//2614,www.gosale.com//551
buy.net//6598,www.gosale.com//1223
www.gosale.com//1123,www.gosale.com//488
www.camerafarm.com.au//745,www.ebay.com//53865
www.ebay.com//56888,www.gosale.com//490
www.ebay.com//56828,www.gosale.com//1355
www.ebay.com//42004,www.gosale.com//1271
www.gosale.com//1488,www.gosale.com//969
www.ebay.com//42834,www.gosale.com//849
www.camerafarm.com.au//758,www.ebay.com//56705
www.ebay.com//55319,www.gosale.com//1304
www.gosale.com//1067,www.gosale.com//733
www.camerafarm.com.au//824,www.ebay.com//55219
www.ebay.com//54536,www.gosale.com//1258
