_id,name,brand,size,price
altosight_000,Lexar 32GB 1400x 210MB/s professional XQD memÃ³riakÃ¡rtya,LEXAR,32,31990.0
altosight_001,Sony microSDXC UHS-1 U3 128GB memÃ³riakÃ¡rtya + adapter (SRG1UXA),SONY,128,59990.0
altosight_002,"SANDISK DUAL DRIVE, TYPE-C, USB 3.0, 16GB, 130 MB/S",SANDISK,16,6790.0
altosight_003,"SanDisk Dual Drive, TYPE-C, USB 3.0, 64GB, 150 MB/S",SANDISK,64,14190.0
altosight_004,Lexar XQD 32GB X1400 PROFESSIONAL XQD +KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto,LEXAR,32,329.0
altosight_005,Lexar XQD 32GB X1400 PROFESSIONAL XQD +KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto,LEXAR,32,329.0
altosight_006,SANDISK TARJETA MICRO SDHC EXTREM PRO 16GB HC 95MB CLASE 10 - Tarjetas - Accesorios,SANDISK,16,29.0
altosight_007,SANDISK Ultra Performance Class 10 microSD Memory Card - 128 GB,SANDISK,128,69.99
altosight_008,SANDISK Ultra Performance Class 10 microSD Memory Card - 32 GB,SANDISK,32,29.99
altosight_009,SANDISK Ultra Performance Class 10 microSD Memory Card - 64 GB,SANDISK,64,39.99
altosight_010,SANDISK Ultra Plus Class 10 SD Memory Card - 16 GB,SANDISK,16,19.99
altosight_011,SANDISK Ultra Plus Class 10 SD Memory Card - 64 GB,SANDISK,64,39.99
altosight_012,"PNY Attache 4 USB 2.0 Memory Stick - 128 GB, Black",PNY,128,21.99
altosight_013,Karta pami?ci Lexar XQD 32 GB x1400 Pro,LEXAR,32,289.0
altosight_014,Karta pami?ci Sandisk microSDHC 16GB Extreme Pro 95MB/s C10 UHS-I + adapter SD,SANDISK,16,103.0
altosight_015,"Wysokiej jako?ci karta pami?ci microSD SR-UX2A, ktÃ³ra zosta?a zaprojektowana do zapisu zdj?? w wysokiej rozdzielczo?ci, obs?ugi szybkich trybÃ³w zdj?? seryjnych oraz filmowania w rozdzielczo?ci 4K lub Full HD (XAVC S), w trakcie korzystania z urz?dze? takich jak np. zaawansowane smartfony, tablety czy kamery sportowe. Wytrzyma?a obudowa zapewnia bezpiecze?stwo danych i odporno?? na wstrz?sy, kurz, py?, wilgo?, promieniowanie rentgenowskie i skrajne temperatury. Szybki odczyt wynosz?cy 95 MB/s i pozwala na swobodn? prac? w cyfrowej ciemni czy studiu monta?owym z profesjonalnymi aparatami cyfrowymi i kamerami. W zestawie z adapterem umo?liwiaj?cym ?atwe przes?anie danych z i do pami?ci komputera.",SONY,128,229.0
altosight_016,"Wysokiej jako?ci karta pami?ci microSD SR-UY3A, ktÃ³ra zosta?a zaprojektowana do zapisu zdj?? w wysokiej rozdzielczo?ci, obs?ugi szybkich trybÃ³w zdj?? seryjnych oraz filmowania w rozdzielczo?ci 4K lub Full HD (XAVC S), w trakcie korzystania z urz?dze? takich jak np. zaawansowane smartfony, tablety czy kamery sportowe. Wytrzyma?a obudowa zapewnia bezpiecze?stwo danych i odporno?? na wstrz?sy, kurz, py?, wilgo?, promieniowanie rentgenowskie i skrajne temperatury. Szybki odczyt wynosz?cy 90 MB/s i pozwala na swobodn? prac? w cyfrowej ciemni czy studiu monta?owym z profesjonalnymi aparatami cyfrowymi i kamerami. W zestawie z adapterem umo?liwiaj?cym ?atwe przes?anie danych z i do pami?ci komputera.",SONY,128,229.0
altosight_017,"Karta pami?ci SDHC (Secure Digital High Capacity) gwarantuj?ca minimaln? szybko?? transferu 4 MB/s, kompatybilna tylko z urz?dzeniami obs?uguj?cymi standard SDHC. Obj?ta wieczyst? gwarancj?.",Kingston,4,
altosight_018,Karta pami?ci Sony microSD 8 GB,SONY,8,40.0
altosight_019,Carte SD Lexar PREMIUM SERIES SDHC 8 Go - SD 300X 8GB (4116020),LEXAR,8,7.9
altosight_020,Carte micro SD Samsung MSD EVO PLUS 16GB (4225090),Samsung,16,12.99
altosight_021,Carte micro SD Sandisk EXTREME PLUS MICRO SDHC 16 Go - MSD 16GB EXT PLUS V2 (4144520),SANDISK,16,46.32
altosight_022,ClÃ© USB Lexar JUMPDRIVE S25 16GB - LJDS25-16GABEU (4110277),LEXAR,16,13.9
altosight_023,ClÃ© USB Lexar JUMPDRIVE S25 32GB (4110331),LEXAR,32,22.9
altosight_024,ClÃ© USB Lexar JUMPDRIVE S25 64GB (4110315),LEXAR,64,39.9
altosight_025,ClÃ© USB Lexar V30 16GB USB 2.0 (4169409),LEXAR,16,8.9
altosight_026,ClÃ© USB Lexar V30 32GB USB 2.0 (4169425),LEXAR,32,11.9
altosight_027,ClÃ© USB Lexar P20 USB 3.0 128 GO (4187407),LEXAR,128,99.9
altosight_028,ClÃ© USB Lexar P20 USB 3.0 32 GO (4187369),LEXAR,32,33.23
altosight_029,ClÃ© USB Sandisk GLIDE 128 GB 3.0 (4194551),SANDISK,128,64.9
altosight_030,ClÃ© USB Sony ClÃ© OTG 16Go USM16CA1 type C et USB 3.1 (4190041),SONY,16,29.99
altosight_031,ClÃ© USB Intenso Cl&amp;eacute; USB 16GB Intenso Basic Line - Sous blister (MK48541586),Intenso,16,8.84
altosight_032,ClÃ© USB Intenso Cl&amp;eacute; USB 4GB INTENSO Rainbow Line - Sous Blister (MK483972804),Intenso,4,7.14
altosight_033,ClÃ© USB Intenso Cl&amp;eacute; USB 64GB Intenso FlashDrive Premium Line 3.0 - blister aluminium (MK935883101),Intenso,64,39.22
altosight_034,ClÃ© USB Intenso Cl&amp;eacute; USB 8GB Intenso FlashDrive Premium Line 3.0 - blister aluminium (MK935883071),Intenso,8,10.55
altosight_035,ClÃ© USB Kingston Cl&amp;eacute; USB 16GB Kingston DT101 G2 - Sous Blister (MK483703403),Kingston,16,13.95
altosight_036,ClÃ© USB Kingston Cl&amp;eacute; USB 32GB Kingston DT101 G2 - Sous blister (MK935278601),Kingston,32,24.45
altosight_037,ClÃ© USB Kingston Cl&amp;amp;eacute; USB 64Go Kingston DataTraveler DTI G4 - Sous blister,Kingston,64,19.89
altosight_038,ClÃ© USB Kingston Kingston ClÃ© USB 16 Go Datatraveler G2 101 (MK1574653819),Kingston,16,14.61
altosight_039,ClÃ© USB Lexar 16GB JumpDrive V30 16Go USB 2.0 Type A Blanc lecteur USB flash (MK1289619889),LEXAR,16,11.94
altosight_040,"ClÃ© USB Lexar 32GB JumpDrive V30 32Go USB 2.0 Type A Vert, Blanc lecteur USB flash (MK1344856649)",LEXAR,32,13.92
altosight_041,"ClÃ© USB Lexar JumpDrive C20c 128GB 128GB USB 3.0 (3.1 Gen 1) Type-A/Type-C Noir, Argent lecteur USB flash (MK1008030400)",LEXAR,128,76.72
altosight_042,"ClÃ© USB Lexar JumpDrive C20m 128GB 128GB USB 3.0 (3.1 Gen 1) Type-A Noir, Argent lecteur USB flash (MK1902705846)",LEXAR,128,57.8
altosight_043,"ClÃ© USB Lexar JumpDrive C20m 32GB 32GB USB 3.0 (3.1 Gen 1) Type-A/Type-C Noir, Argent lecteur USB flash (MK113845669)",LEXAR,32,29.97
altosight_044,ClÃ© USB Sandisk Extreme GO 64Go USB 3.0 (3.1 Gen 1) Type A Noir lecteur USB flash (MK1905627408),SANDISK,64,54.22
altosight_045,ClÃ© USB Toshiba THN-U202W1280E4 128Go USB 2.0 Type A Blanc lecteur USB flash (MK1725168789),TOSHIBA,128,39.77
altosight_046,Carte SD Sandisk Sandisk 8go classe 4 sd secure digital sdhc,SANDISK,8,8.99
altosight_047,Carte XQD Lexar XQD PRO 32 Go 1400X (MK937093372),LEXAR,32,87.45
altosight_048,Accessoires Montres / Bracelets connectÃ©s Sandisk Carte mÃ©moire sdxc sandisk extreme 128 go,SANDISK,32,66.54
altosight_049,Accessoires Montres / Bracelets connectÃ©s Sandisk Carte mÃ©moire sdxc sandisk extreme 128 go,SANDISK,32,46.83
altosight_050,Accessoires Montres / Bracelets connectÃ©s Sandisk Ultra android microsdhc 32g,SANDISK,32,23.49
altosight_051,Accessoires Montres / Bracelets connectÃ©s Sandisk Ultra android microsdhc 32g,SANDISK,32,26.48
altosight_052,Carte mÃ©moire Sandisk MicroSDHC 16Go Sandisk Extreme Pro CL10 UHS-I 95MBs/633x Bulk/Mini Case (MK93587531),SANDISK,16,41.16
altosight_053,Carte mÃ©moire Sony CARTE SDHC 8Go 40 Mo/s (MK935595673),SONY,8,16.05
altosight_054,Carte SD Sandisk Sandisk 8go classe 4 sd secure digital sdhc,SANDISK,8,6.99
altosight_055,Accessoires Montres / Bracelets connectÃ©s Sandisk Carte mÃ©moire sdxc sandisk extreme 128 go,SANDISK,32,49.6
altosight_056,Accessoires Montres / Bracelets connectÃ©s Sandisk Ultra android microsdhc 32g,SANDISK,32,26.39
altosight_057,Sandisk SDHC 8GO - SDHC8GO,SANDISK,8,28.18
altosight_058,Samsung microSD EVO Plus 16GB 80 MB\/s,Samsung,16,29.99
altosight_059,Kingston Data Traveler I G4 64GB USB 3.0,Kingston,64,79.99
altosight_060,Kingston HyperX Savage 512GB USB 3.0,Kingston,512,949.0
altosight_061,PNY Attache 4 8GB USB 2.0 (czarny),PNY,8,24.99
altosight_062,SAMSUNG - EVO+ MB-MC16D 16GB&nbsp;Rosso/Bianco,Samsung,16,9.0
altosight_063,SANDISK - SDHC 8GB&nbsp;,SANDISK,8,7.99
altosight_064,SONY - SF8U (SDHC 8GB CLASSE 6)&nbsp;,SONY,8,9.99
altosight_065,SONY - SONY SDHC MEMORY 16GB SF16N4&nbsp;,SONY,16,12.99
altosight_066,TOSHIBA - scheda di memoria microSDHC 32GB - Exceria&nbsp;NERO,TOSHIBA,32,29.0
altosight_067,LEXAR - JumpDrive USB 2.0 16GB&nbsp;grey/orange,LEXAR,16,19.9
altosight_068,LEXAR - Jumpdrive V10 8GB&nbsp;,LEXAR,8,6.99
altosight_069,SANDISK - Cruzer Extreme USB 3.0 16GB&nbsp;,SANDISK,16,29.9
altosight_070,SANDISK - Cruzer Fit 128GB&nbsp;,SANDISK,128,149.99
altosight_071,SONY - Memoria USB Type-C USB 3.1 16GB&nbsp;,SONY,16,29.9
altosight_072,SONY - USM32GR&nbsp;Nero,SONY,32,29.9
altosight_073,ClÃ© USB 3.1 Sony Type C 16 Go + Etui en MÃ©tal Argent,SONY,16,19.99
altosight_074,ClÃ© USB3.0 Lexar JumpDrive P20 32 Go Noir,LEXAR,32,
altosight_075,DataTraveler 101 G2 - Lecteur flash USB - 16 Go - Hi-Speed USB - noir,Kingston,16,
altosight_076,SanDisk - carte mÃ©moire flash - 4 Go - microSDHC,SANDISK,4,
altosight_077,Kingston - carte mÃ©moire flash - 4 Go - SDHC,Kingston,4,
altosight_078,Kingston Ultimate - carte mÃ©moire flash - 16 Go - SDHC,Kingston,16,
altosight_079,Kingston datatraveler 101 generation 2 (g2) clÃ© usb 32 go mauve kingston technology dt101g2 32gb,Kingston,32,
altosight_080,Kingston - carte mÃ©moire flash - 256 Go - SDXC,Kingston,256,
altosight_081,Toshiba EXCERIA - carte mÃ©moire flash - 32 Go - microSDHC UHS-I,TOSHIBA,32,
altosight_082,Toshiba sdxc carte class 10 64go   gb exceria ultra highuhs i,TOSHIBA,64,
altosight_083,Toshiba EXCERIA - carte mÃ©moire flash - 64 Go - microSDXC UHS-I,TOSHIBA,64,
altosight_084,Toshiba EXCERIA PRO - carte mÃ©moire flash - 32 Go - SDHC UHS-II,TOSHIBA,32,
altosight_085,Toshiba EXCERIA PRO - carte mÃ©moire flash - 128 Go - SDXC UHS-II,TOSHIBA,128,
altosight_086,Toshiba EXCERIA PRO - carte mÃ©moire flash - 64 Go - SDXC UHS-II,TOSHIBA,64,
altosight_087,Kingston Carte Sd Professionnelles Sda10 256Gb Uhs-I Sdhc Sdxc Classe 10 - 256Go,Kingston,256,
altosight_088,Sony Usm32Gr Noir ClÃ© Usb 32Go,SONY,32,
altosight_089,Transcend Ultimate series - carte mÃ©moire flash - 64 Go - SDXC UHS-II,Transcend,64,
altosight_090,Intenso premium line 64gb usb 3.0 (3534490),Intenso,64,
altosight_091,Kingston - carte mÃ©moire flash - 16 Go - microSDHC UHS-I,Kingston,16,
altosight_092,Toshiba EXCERIA N302 - carte mÃ©moire flash - 128 Go - SDXC UHS-I,TOSHIBA,128,
altosight_093,SANDISK Carte MÃ©moire Extreme Pro SDHC / SDXC 16 Go 280 Mo /s  UHSII,SANDISK,16,
altosight_094,Sandisk Carte mÃ©moire microSDHC - 4 Go,SANDISK,4,
altosight_095,Sony Carte mÃ©moire SDHC 16 Go Class4,SONY,16,
altosight_096,Sony Carte mÃ©moire SDHC UHS-I 8 Go Class6,SONY,8,
altosight_097,Lexar JumpDrive S25  Memoria USB 3.0 16 GB verde en Fnac.es,LEXAR,16,11.99
altosight_098,Lexar JumpDrive S25  Memoria USB 3.0  32 GB en Fnac.es,LEXAR,32,18.99
altosight_099,Lexar JumpDrive S25  Memoria USB 3.0  64 GB violeta en Fnac.es,LEXAR,64,34.99
altosight_100,Lexar JumpDrive V30 - unidad flash USB - 16 GB en Fnac.es,LEXAR,16,
altosight_101,Lexar JumpDrive V30 - unidad flash USB - 32 GB en Fnac.es,LEXAR,32,14.99
altosight_102,Lexar JumpDrive V30 - unidad flash USB - 8 GB en Fnac.es,LEXAR,8,6.29
altosight_103,Memoria USB Lexar Jumpdrive C20c 128 GB en Fnac.es,LEXAR,128,79.99
altosight_104,Memoria USB Lexar JumpDrive S70 16GB Pendrive en Fnac.es,LEXAR,16,
altosight_105,Memoria USB SanDisk Extreme USB 3.0 Flash Drive 16 GB Pendrive en Fnac.es,SANDISK,16,
altosight_106,Memoria USB Sony Micro Vault Style 4 GB color blanco Pendrive en Fnac.es,SONY,4,
altosight_107,Memoria USB Sony Micro Vault Style 4 GB color rosa Pendrive en Fnac.es,SONY,4,
altosight_108,Memoria USB Toshiba Transmemory U202 USB 2.0 128GB en Fnac.es,TOSHIBA,128,39.99
altosight_109,SanDisk MicroSDHC+SD adapter 4GB SDSDQM-004G-B35A en Fnac.es,SANDISK,4,
altosight_110,Sandisk - 16gb Extreme en Fnac.es,SANDISK,16,
altosight_111,Sony Unidad Flash USB alta velocidad (32 GB) USM32GQX - Pendrive / Memoria USB en Fnac.es,SONY,32,
altosight_112,Sony Unidad Flash USB alta velocidad (8 GB) USM8GQX - Pendrive / Memoria USB en Fnac.es,SONY,8,
altosight_113,Lexar 16GB JumpDrive S70 - Pendrive / Memoria USB en Fnac.es,LEXAR,16,
altosight_114,Lexar JumpDrive P20 32GB - Pendrive / Memoria USB en Fnac.es,LEXAR,32,
altosight_115,Lexar JumpDrive P20 128GB - Pendrive / Memoria USB en Fnac.es,LEXAR,128,
altosight_116,Toshiba USB 3.0 128GB - Pendrive / Memoria USB en Fnac.es,TOSHIBA,128,
altosight_117,Pendrive Kingston 64gb g4 Memoria usb 3.0 64 gb Original pen Drive Nuevo Calidad en Fnac.es,Kingston,64,
altosight_118,"Toshiba - U201 64gb USB 2.0 Verde, Color Blanco Unidad Flash USB en Fnac.es",TOSHIBA,64,
altosight_119,"Sandisk Cruzer Glide 256 GB 256GB USB 2.0 Negro, Rojo unidad flash USB en Fnac.es",SANDISK,256,
altosight_120,Intenso 3534490 - Memoria USB Llave USB en Fnac.es,Intenso,64,
altosight_121,Tarjeta microSDHC SanDisk Extreme Pro UHS-1 16GB en Fnac.es,SANDISK,16,15.59
altosight_122,Memoria SDHC Sony 8GB Class 10 / UHS I,SONY,8,9.99
altosight_123,Memoria Transcend SDXC 64GB Clase 10 UHS-II U3 Ultimate,Transcend,64,127.99
altosight_124,Tarjeta microSDXC Samsung clase 10 128GB PRO con adaptador,Samsung,128,99.99
altosight_125,Sandisk MicroSDHC 16 Gb EXTREME PRO | microSD | Memorie | Foto De Angelis,SANDISK,16,29.0
altosight_126,Sandisk MicroSDHC 4 Gb | microSD | Memorie | Foto De Angelis,SANDISK,4,6.0
altosight_127,Lexar SDHC 8 Gb 300X Classe 10 | SD (secure digital) | Memorie | Foto De Angelis,LEXAR,8,12.0
altosight_128,Sandisk SDHC 16 Gb EXTREME PRO 1867x | SD (secure digital) | Memorie | Foto De Angelis,SANDISK,16,79.0
altosight_129,Sandisk SDHC 32 Gb Extreme Pro 1867x | SD (secure digital) | Memorie | Foto De Angelis,SANDISK,16,81.9
