ltable_id,rtable_id,label
altosight_134,altosight_273,1
altosight_424,altosight_664,1
altosight_322,altosight_542,1
altosight_558,altosight_677,1
altosight_267,altosight_712,1
altosight_075,altosight_274,1
altosight_108,altosight_256,1
altosight_317,altosight_628,1
altosight_317,altosight_441,1
altosight_166,altosight_806,1
altosight_034,altosight_347,1
altosight_198,altosight_332,1
altosight_193,altosight_522,1
altosight_682,altosight_763,1
altosight_043,altosight_702,1
altosight_328,altosight_555,1
altosight_072,altosight_088,1
altosight_391,altosight_668,1
altosight_156,altosight_577,1
altosight_046,altosight_834,1
altosight_503,altosight_663,1
altosight_352,altosight_451,1
altosight_685,altosight_807,1
altosight_007,altosight_412,1
altosight_108,altosight_770,1
altosight_099,altosight_830,1
altosight_630,altosight_795,1
altosight_071,altosight_211,1
altosight_061,altosight_355,1
altosight_034,altosight_534,1
altosight_131,altosight_225,1
altosight_259,altosight_366,1
altosight_422,altosight_665,1
altosight_288,altosight_711,1
altosight_313,altosight_636,1
altosight_756,altosight_825,1
altosight_263,altosight_812,1
altosight_305,altosight_584,1
altosight_080,altosight_443,1
altosight_090,altosight_554,1
altosight_066,altosight_243,1
altosight_300,altosight_561,1
altosight_632,altosight_808,1
altosight_756,altosight_770,1
altosight_457,altosight_658,1
altosight_049,altosight_421,1
altosight_039,altosight_210,1
altosight_353,altosight_760,1
altosight_395,altosight_767,1
altosight_639,altosight_761,1
altosight_590,altosight_783,1
altosight_571,altosight_614,1
altosight_119,altosight_375,1
altosight_433,altosight_492,1
altosight_312,altosight_351,1
altosight_247,altosight_551,1
altosight_238,altosight_276,1
altosight_320,altosight_477,1
altosight_537,altosight_759,1
altosight_209,altosight_545,1
altosight_399,altosight_495,1
altosight_587,altosight_597,1
altosight_092,altosight_610,1
altosight_212,altosight_604,1
altosight_776,altosight_826,1
altosight_648,altosight_764,1
altosight_809,altosight_825,1
altosight_199,altosight_291,1
altosight_236,altosight_275,1
altosight_095,altosight_806,1
altosight_005,altosight_047,1
altosight_153,altosight_791,1
altosight_030,altosight_150,1
altosight_161,altosight_459,1
altosight_171,altosight_459,1
altosight_055,altosight_503,1
altosight_032,altosight_781,1
altosight_606,altosight_608,1
altosight_006,altosight_729,1
altosight_019,altosight_454,1
altosight_618,altosight_701,1
altosight_167,altosight_770,1
altosight_267,altosight_292,1
altosight_470,altosight_575,1
altosight_035,altosight_759,1
altosight_493,altosight_759,1
altosight_365,altosight_732,1
altosight_084,altosight_241,1
altosight_390,altosight_511,1
altosight_096,altosight_303,1
altosight_230,altosight_816,1
altosight_327,altosight_465,1
altosight_568,altosight_617,1
altosight_384,altosight_471,1
altosight_406,altosight_452,1
altosight_169,altosight_832,1
altosight_131,altosight_834,1
altosight_424,altosight_463,1
altosight_132,altosight_673,1
altosight_484,altosight_492,1
altosight_046,altosight_746,0
altosight_111,altosight_740,0
altosight_213,altosight_722,0
altosight_437,altosight_540,0
altosight_000,altosight_734,0
altosight_042,altosight_736,0
altosight_093,altosight_778,0
altosight_190,altosight_814,0
altosight_181,altosight_429,0
altosight_248,altosight_782,0
altosight_295,altosight_500,0
altosight_542,altosight_592,0
altosight_110,altosight_158,0
altosight_267,altosight_480,0
altosight_089,altosight_285,0
altosight_299,altosight_760,0
altosight_337,altosight_373,0
altosight_306,altosight_765,0
altosight_008,altosight_558,0
altosight_133,altosight_597,0
altosight_150,altosight_418,0
altosight_578,altosight_768,0
altosight_479,altosight_500,0
altosight_019,altosight_139,0
altosight_768,altosight_822,0
altosight_092,altosight_834,0
altosight_119,altosight_542,0
altosight_082,altosight_191,0
altosight_276,altosight_367,0
altosight_299,altosight_571,0
altosight_020,altosight_553,0
altosight_232,altosight_813,0
altosight_069,altosight_094,0
altosight_524,altosight_655,0
altosight_161,altosight_729,0
altosight_426,altosight_541,0
altosight_260,altosight_761,0
altosight_216,altosight_325,0
altosight_563,altosight_794,0
altosight_014,altosight_604,0
altosight_275,altosight_522,0
altosight_379,altosight_741,0
altosight_342,altosight_353,0
altosight_633,altosight_694,0
altosight_192,altosight_570,0
altosight_521,altosight_612,0
altosight_107,altosight_196,0
altosight_216,altosight_778,0
altosight_475,altosight_772,0
altosight_600,altosight_679,0
altosight_196,altosight_259,0
altosight_198,altosight_366,0
altosight_134,altosight_469,0
altosight_170,altosight_671,0
altosight_283,altosight_340,0
altosight_538,altosight_739,0
altosight_341,altosight_783,0
altosight_515,altosight_624,0
altosight_235,altosight_700,0
altosight_082,altosight_548,0
altosight_333,altosight_747,0
altosight_511,altosight_699,0
altosight_031,altosight_261,0
altosight_248,altosight_424,0
altosight_183,altosight_439,0
altosight_390,altosight_710,0
altosight_117,altosight_561,0
altosight_221,altosight_240,0
altosight_112,altosight_647,0
altosight_260,altosight_495,0
altosight_149,altosight_430,0
altosight_494,altosight_500,0
altosight_231,altosight_549,0
altosight_140,altosight_145,0
altosight_157,altosight_269,0
altosight_233,altosight_299,0
altosight_244,altosight_482,0
altosight_097,altosight_150,0
altosight_062,altosight_762,0
altosight_002,altosight_170,0
altosight_544,altosight_695,0
altosight_311,altosight_726,0
altosight_003,altosight_660,0
altosight_290,altosight_302,0
altosight_651,altosight_820,0
altosight_546,altosight_721,0
altosight_161,altosight_512,0
altosight_197,altosight_599,0
altosight_319,altosight_636,0
altosight_013,altosight_122,0
altosight_485,altosight_519,0
altosight_068,altosight_102,0
altosight_142,altosight_453,0
altosight_062,altosight_584,0
altosight_234,altosight_652,0
altosight_327,altosight_490,0
altosight_212,altosight_816,0
altosight_286,altosight_342,0
altosight_239,altosight_354,0
altosight_204,altosight_545,0
altosight_190,altosight_834,0
altosight_547,altosight_763,0
altosight_602,altosight_764,0
altosight_236,altosight_464,0
altosight_341,altosight_474,0
altosight_137,altosight_430,0
altosight_448,altosight_618,0
altosight_448,altosight_608,0
altosight_268,altosight_361,0
altosight_638,altosight_789,0
altosight_251,altosight_324,0
altosight_091,altosight_135,0
altosight_358,altosight_372,0
altosight_211,altosight_351,0
altosight_469,altosight_747,0
altosight_170,altosight_238,0
altosight_532,altosight_589,0
altosight_159,altosight_611,0
altosight_570,altosight_743,0
