l_id,r_id
altosight_000,altosight_004
altosight_000,altosight_005
altosight_000,altosight_013
altosight_000,altosight_047
altosight_000,altosight_161
altosight_000,altosight_171
altosight_000,altosight_246
altosight_000,altosight_361
altosight_000,altosight_459
altosight_000,altosight_689
altosight_000,altosight_690
altosight_001,altosight_015
altosight_001,altosight_016
altosight_001,altosight_143
altosight_001,altosight_374
altosight_001,altosight_482
altosight_001,altosight_491
altosight_001,altosight_579
altosight_001,altosight_613
altosight_001,altosight_693
altosight_001,altosight_716
altosight_002,altosight_145
altosight_002,altosight_523
altosight_002,altosight_611
altosight_003,altosight_156
altosight_003,altosight_372
altosight_003,altosight_577
altosight_003,altosight_757
altosight_003,altosight_778
altosight_004,altosight_005
altosight_004,altosight_013
altosight_004,altosight_047
altosight_004,altosight_161
altosight_004,altosight_171
altosight_004,altosight_246
altosight_004,altosight_361
altosight_004,altosight_459
altosight_004,altosight_689
altosight_004,altosight_690
altosight_005,altosight_013
altosight_005,altosight_047
altosight_005,altosight_161
altosight_005,altosight_171
altosight_005,altosight_246
altosight_005,altosight_361
altosight_005,altosight_459
altosight_005,altosight_689
altosight_005,altosight_690
altosight_006,altosight_014
altosight_006,altosight_021
altosight_006,altosight_052
altosight_006,altosight_121
altosight_006,altosight_125
altosight_006,altosight_160
altosight_006,altosight_188
altosight_006,altosight_218
altosight_006,altosight_513
altosight_006,altosight_564
altosight_006,altosight_578
altosight_006,altosight_651
altosight_006,altosight_692
altosight_006,altosight_729
altosight_007,altosight_253
altosight_007,altosight_412
altosight_007,altosight_424
altosight_007,altosight_425
altosight_007,altosight_463
altosight_007,altosight_500
altosight_007,altosight_504
altosight_007,altosight_664
altosight_007,altosight_735
altosight_008,altosight_048
altosight_008,altosight_049
altosight_008,altosight_050
altosight_008,altosight_051
altosight_008,altosight_055
altosight_008,altosight_056
altosight_008,altosight_251
altosight_008,altosight_420
altosight_008,altosight_421
altosight_008,altosight_501
altosight_008,altosight_503
altosight_008,altosight_663
altosight_008,altosight_734
altosight_008,altosight_766
altosight_009,altosight_252
altosight_009,altosight_422
altosight_009,altosight_423
altosight_009,altosight_502
altosight_009,altosight_505
altosight_009,altosight_665
altosight_009,altosight_736
altosight_010,altosight_257
altosight_010,altosight_365
altosight_010,altosight_506
altosight_010,altosight_509
altosight_010,altosight_666
altosight_010,altosight_732
altosight_011,altosight_390
altosight_011,altosight_391
altosight_011,altosight_392
altosight_011,altosight_393
altosight_011,altosight_413
altosight_011,altosight_508
altosight_011,altosight_511
altosight_011,altosight_668
altosight_011,altosight_714
altosight_012,altosight_141
altosight_012,altosight_164
altosight_012,altosight_270
altosight_012,altosight_418
altosight_012,altosight_472
altosight_012,altosight_494
altosight_012,altosight_512
altosight_012,altosight_648
altosight_012,altosight_728
altosight_012,altosight_764
altosight_012,altosight_776
altosight_012,altosight_826
altosight_013,altosight_047
altosight_013,altosight_161
altosight_013,altosight_171
altosight_013,altosight_246
altosight_013,altosight_361
altosight_013,altosight_459
altosight_013,altosight_689
altosight_013,altosight_690
altosight_014,altosight_021
altosight_014,altosight_052
altosight_014,altosight_121
altosight_014,altosight_125
altosight_014,altosight_160
altosight_014,altosight_188
altosight_014,altosight_218
altosight_014,altosight_513
altosight_014,altosight_564
altosight_014,altosight_578
altosight_014,altosight_651
altosight_014,altosight_692
altosight_014,altosight_729
altosight_015,altosight_016
altosight_015,altosight_143
altosight_015,altosight_374
altosight_015,altosight_482
altosight_015,altosight_491
altosight_015,altosight_579
altosight_015,altosight_613
altosight_015,altosight_693
altosight_015,altosight_716
altosight_016,altosight_143
altosight_016,altosight_374
altosight_016,altosight_482
altosight_016,altosight_491
altosight_016,altosight_579
altosight_016,altosight_613
altosight_016,altosight_693
altosight_016,altosight_716
altosight_017,altosight_077
altosight_017,altosight_224
altosight_017,altosight_394
altosight_017,altosight_479
altosight_017,altosight_515
altosight_017,altosight_609
altosight_017,altosight_622
altosight_018,altosight_483
altosight_018,altosight_514
altosight_018,altosight_653
altosight_018,altosight_820
altosight_019,altosight_127
altosight_019,altosight_168
altosight_019,altosight_170
altosight_019,altosight_219
altosight_019,altosight_240
altosight_019,altosight_316
altosight_019,altosight_357
altosight_019,altosight_380
altosight_019,altosight_454
altosight_019,altosight_516
altosight_019,altosight_549
altosight_019,altosight_649
altosight_019,altosight_662
altosight_020,altosight_058
altosight_020,altosight_062
altosight_020,altosight_583
altosight_020,altosight_765
altosight_021,altosight_052
altosight_021,altosight_121
altosight_021,altosight_125
altosight_021,altosight_160
altosight_021,altosight_188
altosight_021,altosight_218
altosight_021,altosight_513
altosight_021,altosight_564
altosight_021,altosight_578
altosight_021,altosight_651
altosight_021,altosight_692
altosight_021,altosight_729
altosight_022,altosight_097
altosight_022,altosight_215
altosight_022,altosight_354
altosight_022,altosight_407
altosight_022,altosight_453
altosight_022,altosight_485
altosight_022,altosight_517
altosight_022,altosight_793
altosight_023,altosight_098
altosight_023,altosight_140
altosight_023,altosight_216
altosight_023,altosight_236
altosight_023,altosight_275
altosight_023,altosight_352
altosight_023,altosight_405
altosight_023,altosight_451
altosight_023,altosight_518
altosight_023,altosight_621
altosight_023,altosight_829
altosight_024,altosight_099
altosight_024,altosight_154
altosight_024,altosight_208
altosight_024,altosight_277
altosight_024,altosight_313
altosight_024,altosight_404
altosight_024,altosight_450
altosight_024,altosight_519
altosight_024,altosight_550
altosight_024,altosight_636
altosight_024,altosight_696
altosight_024,altosight_754
altosight_024,altosight_794
altosight_024,altosight_830
altosight_025,altosight_039
altosight_025,altosight_100
altosight_025,altosight_210
altosight_025,altosight_239
altosight_025,altosight_356
altosight_025,altosight_488
altosight_025,altosight_538
altosight_025,altosight_540
altosight_025,altosight_796
altosight_026,altosight_040
altosight_026,altosight_101
altosight_026,altosight_217
altosight_026,altosight_238
altosight_026,altosight_276
altosight_026,altosight_379
altosight_026,altosight_489
altosight_026,altosight_539
altosight_026,altosight_797
altosight_027,altosight_115
altosight_027,altosight_312
altosight_027,altosight_351
altosight_027,altosight_381
altosight_027,altosight_403
altosight_027,altosight_449
altosight_027,altosight_520
altosight_027,altosight_620
altosight_027,altosight_695
altosight_028,altosight_074
altosight_028,altosight_114
altosight_028,altosight_237
altosight_028,altosight_281
altosight_028,altosight_314
altosight_028,altosight_353
altosight_028,altosight_382
altosight_028,altosight_406
altosight_028,altosight_452
altosight_028,altosight_521
altosight_028,altosight_644
altosight_028,altosight_760
altosight_028,altosight_792
altosight_029,altosight_525
altosight_029,altosight_633
altosight_029,altosight_670
altosight_030,altosight_071
altosight_030,altosight_073
altosight_030,altosight_150
altosight_030,altosight_211
altosight_030,altosight_415
altosight_030,altosight_527
altosight_030,altosight_562
altosight_030,altosight_571
altosight_030,altosight_614
altosight_030,altosight_619
altosight_030,altosight_685
altosight_030,altosight_694
altosight_030,altosight_703
altosight_030,altosight_807
altosight_031,altosight_134
altosight_031,altosight_162
altosight_031,altosight_228
altosight_031,altosight_273
altosight_031,altosight_302
altosight_031,altosight_343
altosight_031,altosight_376
altosight_031,altosight_496
altosight_031,altosight_531
altosight_031,altosight_603
altosight_031,altosight_641
altosight_031,altosight_671
altosight_031,altosight_772
altosight_031,altosight_779
altosight_032,altosight_133
altosight_032,altosight_139
altosight_032,altosight_196
altosight_032,altosight_272
altosight_032,altosight_295
altosight_032,altosight_339
altosight_032,altosight_427
altosight_032,altosight_497
altosight_032,altosight_532
altosight_032,altosight_602
altosight_032,altosight_640
altosight_032,altosight_706
altosight_032,altosight_775
altosight_032,altosight_781
altosight_033,altosight_090
altosight_033,altosight_120
altosight_033,altosight_136
altosight_033,altosight_137
