query_table,join_table,join_column,query_set_size,join_set_size,joinability,processed,jsim
16478687-3_0,16478687-3_1,city,20,27,15,False,0.46875
16478687-3_0,16478687-3_2,city,20,49,11,False,0.1896551724137931
16478687-3_0,16478687-3_3,city,20,39,12,False,0.2553191489361702
21333468-2_0,21333468-2_1,year,27,34,16,False,0.35555555555555557
21333468-2_0,21333468-2_2,year,27,29,10,False,0.21739130434782608
21333468-2_0,21333468-2_3,year,27,31,15,False,0.3488372093023256
21333468-2_0,21333468-2_4,year,27,31,13,True,0.28888888888888886
33172252-2_0,33172252-2_1,tribe,16,17,9,False,0.375
33172252-2_0,33172252-2_2,tribe,16,11,8,False,0.42105263157894735
39664148-1_0,39664148-1_1,name,13,44,9,False,0.1875
39664148-1_0,39664148-1_2,name,13,37,9,False,0.21951219512195122
39664148-1_0,39664148-1_3,name,13,23,9,False,0.3333333333333333
39664148-1_0,39664148-1_4,name,13,19,7,False,0.28
39664148-1_0,39664148-1_5,name,13,31,7,False,0.1891891891891892
39664148-1_0,39664148-1_6,name,13,48,12,False,0.24489795918367346
39664148-1_0,39664148-1_7,name,13,43,11,False,0.24444444444444444
39664148-1_0,39664148-1_8,name,13,40,8,True,0.17777777777777778
26087465-1_0,26087465-1_1,name,115,101,42,False,0.2413793103448276
26087465-1_0,26087465-1_2,name,115,183,72,False,0.3185840707964602
26087465-1_0,26087465-1_3,name,115,156,49,False,0.22072072072072071
26087465-1_0,26087465-1_4,name,115,101,59,False,0.37579617834394907
26087465-1_0,26087465-1_5,name,115,52,38,True,0.29457364341085274
9306953-4_0,9306953-4_1,seat,4,7,3,False,0.375
9306953-4_0,9306953-4_2,seat,4,8,4,False,0.5
9306953-4_0,9306953-4_3,seat,4,8,4,False,0.5
24423220-1_0,24423220-1_1,champion,14,10,7,False,0.4117647058823529
24423220-1_0,24423220-1_2,champion,14,42,10,False,0.21739130434782608
19023296-11_0,19023296-11_1,single single,6,27,5,False,0.17857142857142858
19023296-11_0,19023296-11_2,single single,6,6,4,False,0.5
23388142-3_0,23388142-3_1,title,7,21,4,False,0.16666666666666666
23388142-3_0,23388142-3_2,title,7,15,4,False,0.2222222222222222
23388142-3_0,23388142-3_3,title,7,7,3,False,0.2727272727272727
23388142-3_0,23388142-3_4,title,7,17,4,False,0.2
23388142-3_0,23388142-3_5,title,7,31,4,True,0.11764705882352941
17540875-2_0,17540875-2_1,home team,12,15,10,False,0.5882352941176471
17540875-2_0,17540875-2_2,home team,12,21,9,False,0.375
17540875-2_0,17540875-2_3,home team,12,28,4,False,0.1111111111111111
17540875-2_0,17540875-2_4,home team,12,34,5,False,0.12195121951219512
17540875-2_0,17540875-2_5,home team,12,36,9,False,0.23076923076923078
17540875-2_0,17540875-2_6,home team,12,22,6,False,0.21428571428571427
17540875-2_0,17540875-2_7,home team,12,27,9,False,0.3
17540875-2_0,17540875-2_8,home team,12,21,10,True,0.43478260869565216
11179246-2_0,11179246-2_1,season,68,63,37,False,0.39361702127659576
11179246-2_0,11179246-2_2,season,68,46,34,False,0.425
11179246-2_0,11179246-2_3,season,68,95,58,False,0.5523809523809524
28728694-1_0,28728694-1_1,fold name,118,96,61,False,0.39869281045751637
28728694-1_0,28728694-1_2,fold name,118,319,101,False,0.3005952380952381
21115-4_0,21115-4_1,driver,42,60,29,False,0.3972602739726027
21115-4_0,21115-4_2,driver,42,51,33,False,0.55
21115-4_0,21115-4_3,driver,42,45,21,False,0.3181818181818182
21115-4_0,21115-4_4,driver,42,54,26,False,0.37142857142857144
21115-4_0,21115-4_5,driver,42,37,18,False,0.29508196721311475
21115-4_0,21115-4_6,driver,42,32,27,False,0.574468085106383
21115-4_0,21115-4_7,driver,42,31,24,False,0.4897959183673469
21115-4_0,21115-4_8,driver,42,36,14,False,0.21875
21115-4_0,21115-4_9,driver,42,44,26,False,0.43333333333333335
21115-4_0,21115-4_10,driver,42,49,25,True,0.3787878787878788
25289921-3_0,25289921-3_1,name,41,65,21,False,0.24705882352941178
25289921-3_0,25289921-3_2,name,41,71,27,False,0.3176470588235294
25289921-3_0,25289921-3_3,name,41,56,24,False,0.3287671232876712
25289921-3_0,25289921-3_4,name,41,59,13,False,0.14942528735632185
25289921-3_0,25289921-3_5,name,41,53,20,False,0.2702702702702703
25289921-3_0,25289921-3_6,name,41,62,36,False,0.5373134328358209
25289921-3_0,25289921-3_7,name,41,67,33,False,0.44
25289921-3_0,25289921-3_8,name,41,71,35,False,0.45454545454545453
25289921-3_0,25289921-3_9,name,41,37,24,True,0.4444444444444444
221398-1_0,221398-1_1,prefecture,20,37,14,False,0.32558139534883723
221398-1_0,221398-1_2,prefecture,20,39,17,False,0.40476190476190477
2892530-1_0,2892530-1_1,player,8,15,3,False,0.15
2892530-1_0,2892530-1_2,player,8,8,2,False,0.14285714285714285
2892530-1_0,2892530-1_3,player,8,28,6,False,0.2
2892530-1_0,2892530-1_4,player,8,27,4,False,0.12903225806451613
2892530-1_0,2892530-1_5,player,8,10,5,False,0.38461538461538464
2892530-1_0,2892530-1_6,player,8,15,2,False,0.09523809523809523
2892530-1_0,2892530-1_7,player,8,28,5,False,0.16129032258064516
2892530-1_0,2892530-1_8,player,8,16,7,False,0.4117647058823529
2892530-1_0,2892530-1_9,player,8,25,3,False,0.1
2892530-1_0,2892530-1_10,player,8,29,5,True,0.15625
32624565-1_0,32624565-1_1,player,16,33,13,False,0.3611111111111111
32624565-1_0,32624565-1_2,player,16,35,6,False,0.13333333333333333
32624565-1_0,32624565-1_3,player,16,15,10,False,0.47619047619047616
32624565-1_0,32624565-1_4,player,16,32,13,False,0.37142857142857144
32624565-1_0,32624565-1_5,player,16,24,8,False,0.25
32624565-1_0,32624565-1_6,player,16,40,9,False,0.19148936170212766
32624565-1_0,32624565-1_7,player,16,22,14,True,0.5833333333333334
19376350-9_0,19376350-9_1,player,22,32,18,False,0.5
19376350-9_0,19376350-9_2,player,22,17,14,False,0.56
19376350-9_0,19376350-9_3,player,22,25,11,False,0.3055555555555556
19376350-9_0,19376350-9_4,player,22,22,16,True,0.5714285714285714
2085609-2_0,2085609-2_1,name,9,30,5,False,0.14705882352941177
2085609-2_0,2085609-2_2,name,9,19,7,False,0.3333333333333333
2085609-2_0,2085609-2_3,name,9,20,3,False,0.11538461538461539
2085609-2_0,2085609-2_4,name,9,31,5,False,0.14285714285714285
2085609-2_0,2085609-2_5,name,9,18,3,True,0.125
18844892-1_0,18844892-1_1,name of mill,15,16,7,False,0.2916666666666667
18844892-1_0,18844892-1_2,name of mill,15,43,10,False,0.20833333333333334
18844892-1_0,18844892-1_3,name of mill,15,43,8,False,0.16
18844892-1_0,18844892-1_4,name of mill,15,37,6,False,0.13043478260869565
18844892-1_0,18844892-1_5,name of mill,15,16,6,False,0.24
18844892-1_0,18844892-1_6,name of mill,15,43,10,True,0.20833333333333334
4305447-1_0,4305447-1_1,year,26,31,11,False,0.2391304347826087
4305447-1_0,4305447-1_2,year,26,11,8,False,0.27586206896551724
4305447-1_0,4305447-1_3,year,26,21,9,False,0.23684210526315788
4305447-1_0,4305447-1_4,year,26,47,15,False,0.25862068965517243
4305447-1_0,4305447-1_5,year,26,21,12,False,0.34285714285714286
4305447-1_0,4305447-1_6,year,26,41,17,False,0.34
4305447-1_0,4305447-1_7,year,26,54,22,False,0.3793103448275862
4305447-1_0,4305447-1_8,year,26,19,14,False,0.45161290322580644
4305447-1_0,4305447-1_9,year,26,17,8,True,0.22857142857142856
22719643-4_0,22719643-4_1,player,11,18,6,False,0.2608695652173913
22719643-4_0,22719643-4_2,player,11,16,4,False,0.17391304347826086
8644643-1_0,8644643-1_1,name,32,42,26,False,0.5416666666666666
8644643-1_0,8644643-1_2,name,32,35,24,False,0.5581395348837209
24491317-1_0,24491317-1_1,lga,51,45,28,False,0.4117647058823529
24491317-1_0,24491317-1_2,lga,51,56,27,False,0.3375
24491317-1_0,24491317-1_3,lga,51,50,40,False,0.6557377049180327
24491317-1_0,24491317-1_4,lga,51,70,45,False,0.5921052631578947
24491317-1_0,24491317-1_5,lga,51,32,20,False,0.31746031746031744
24491317-1_0,24491317-1_6,lga,51,65,35,False,0.43209876543209874
24491317-1_0,24491317-1_7,lga,51,46,39,True,0.6724137931034483
25372590-2_0,25372590-2_1,name,15,26,11,False,0.36666666666666664
25372590-2_0,25372590-2_2,name,15,28,13,False,0.43333333333333335
25372590-2_0,25372590-2_3,name,15,11,5,False,0.23809523809523808
25372590-2_0,25372590-2_4,name,15,17,5,True,0.18518518518518517
1447560-1_0,1447560-1_1,team,7,7,6,False,0.75
1447560-1_0,1447560-1_2,team,7,7,7,False,1.0
1447560-1_0,1447560-1_3,team,7,5,5,False,0.7142857142857143
1447560-1_0,1447560-1_4,team,7,8,7,False,0.875
1447560-1_0,1447560-1_5,team,7,5,5,False,0.7142857142857143
1447560-1_0,1447560-1_6,team,7,8,7,False,0.875
1447560-1_0,1447560-1_7,team,7,6,6,False,0.8571428571428571
1447560-1_0,1447560-1_8,team,7,3,3,False,0.42857142857142855
1447560-1_0,1447560-1_9,team,7,5,4,True,0.5
2263212-1_0,2263212-1_1,senator,22,46,16,False,0.3076923076923077
2263212-1_0,2263212-1_2,senator,22,45,14,False,0.2641509433962264
2263212-1_0,2263212-1_3,senator,22,28,10,False,0.25
21304781-3_0,21304781-3_1,miss world ecuador,19,41,12,False,0.25
21304781-3_0,21304781-3_2,miss world ecuador,19,38,9,False,0.1875
21304781-3_0,21304781-3_3,miss world ecuador,19,36,16,False,0.41025641025641024
21304781-3_0,21304781-3_4,miss world ecuador,19,28,15,False,0.46875
21304781-3_0,21304781-3_5,miss world ecuador,19,12,7,False,0.2916666666666667
21304781-3_0,21304781-3_6,miss world ecuador,19,25,14,False,0.4666666666666667
21304781-3_0,21304781-3_7,miss world ecuador,19,29,9,False,0.23076923076923078
21304781-3_0,21304781-3_8,miss world ecuador,19,14,11,False,0.5
21304781-3_0,21304781-3_9,miss world ecuador,19,29,11,False,0.2972972972972973
21304781-3_0,21304781-3_10,miss world ecuador,19,29,12,True,0.3333333333333333
207072-1_0,207072-1_1,designation,12,21,6,False,0.2222222222222222
207072-1_0,207072-1_2,designation,12,15,6,False,0.2857142857142857
207072-1_0,207072-1_3,designation,12,34,9,False,0.24324324324324326
207072-1_0,207072-1_4,designation,12,19,5,False,0.19230769230769232
207072-1_0,207072-1_5,designation,12,22,5,False,0.1724137931034483
207072-1_0,207072-1_6,designation,12,13,9,False,0.5625
207072-1_0,207072-1_7,designation,12,37,7,False,0.16666666666666666
207072-1_0,207072-1_8,designation,12,56,9,False,0.15254237288135594
207072-1_0,207072-1_9,designation,12,41,9,True,0.20454545454545456
370094-1_0,370094-1_1,film film,35,40,18,False,0.3157894736842105
370094-1_0,370094-1_2,film film,35,58,26,False,0.3880597014925373
370094-1_0,370094-1_3,film film,35,32,19,False,0.3958333333333333
370094-1_0,370094-1_4,film film,35,15,10,False,0.25
370094-1_0,370094-1_5,film film,35,44,26,False,0.49056603773584906
370094-1_0,370094-1_6,film film,35,39,13,False,0.21311475409836064
370094-1_0,370094-1_7,film film,35,44,13,True,0.19696969696969696
9053755-1_0,9053755-1_1,name,93,222,36,False,0.12903225806451613
9053755-1_0,9053755-1_2,name,93,98,58,False,0.43609022556390975
11576567-1_0,11576567-1_1,english/portuguese title,76,59,25,False,0.22727272727272727
11576567-1_0,11576567-1_2,english/portuguese title,76,46,34,False,0.38636363636363635
11576567-1_0,11576567-1_3,english/portuguese title,76,112,68,False,0.5666666666666667
11576567-1_0,11576567-1_4,english/portuguese title,76,108,54,False,0.4153846153846154
11576567-1_0,11576567-1_5,english/portuguese title,76,119,67,False,0.5234375
11576567-1_0,11576567-1_6,english/portuguese title,76,104,49,False,0.37404580152671757
11576567-1_0,11576567-1_7,english/portuguese title,76,83,47,False,0.41964285714285715
11576567-1_0,11576567-1_8,english/portuguese title,76,59,45,True,0.5
36872966-1_0,36872966-1_1,event,18,18,9,False,0.3333333333333333
36872966-1_0,36872966-1_2,event,18,8,7,False,0.3684210526315789
36872966-1_0,36872966-1_3,event,18,18,12,False,0.5
36872966-1_0,36872966-1_4,event,18,14,10,False,0.45454545454545453
36872966-1_0,36872966-1_5,event,18,24,11,True,0.3548387096774194
14084866-1_0,14084866-1_1,title,18,12,6,False,0.25
20648815-9_0,20648815-9_1,player,9,10,3,False,0.1875
20648815-9_0,20648815-9_2,player,9,13,6,False,0.375
20648815-9_0,20648815-9_3,player,9,26,6,False,0.20689655172413793
20648815-9_0,20648815-9_4,player,9,8,5,False,0.4166666666666667
20648815-9_0,20648815-9_5,player,9,18,3,False,0.125
20648815-9_0,20648815-9_6,player,9,25,4,False,0.13333333333333333
20648815-9_0,20648815-9_7,player,9,27,5,False,0.16129032258064516
20648815-9_0,20648815-9_8,player,9,15,3,False,0.14285714285714285
20648815-9_0,20648815-9_9,player,9,13,4,False,0.2222222222222222
20648815-9_0,20648815-9_10,player,9,24,3,True,0.1
21350294-4_0,21350294-4_1,driver,19,11,8,False,0.36363636363636365
21350294-4_0,21350294-4_2,driver,19,14,12,False,0.5714285714285714
14620462-1_0,14620462-1_1,title,9,27,7,False,0.2413793103448276
18485030-1_0,18485030-1_1,stadium,10,35,6,False,0.15384615384615385
18485030-1_0,18485030-1_2,stadium,10,11,6,False,0.4
818722-1_0,818722-1_1,character(s),19,38,10,False,0.2127659574468085
818722-1_0,818722-1_2,character(s),19,14,8,False,0.32
35424124-1_0,35424124-1_1,player,34,33,29,False,0.7631578947368421
35424124-1_0,35424124-1_2,player,34,25,17,False,0.40476190476190477
35424124-1_0,35424124-1_3,player,34,49,26,False,0.45614035087719296
35424124-1_0,35424124-1_4,player,34,31,24,False,0.5853658536585366
35424124-1_0,35424124-1_5,player,34,33,20,True,0.425531914893617
7795109-1_0,7795109-1_1,took office,10,5,3,False,0.25
7795109-1_0,7795109-1_2,took office,10,16,4,False,0.18181818181818182
7795109-1_0,7795109-1_3,took office,10,15,7,False,0.3888888888888889
7795109-1_0,7795109-1_4,took office,10,21,8,False,0.34782608695652173
7795109-1_0,7795109-1_5,took office,10,19,8,False,0.38095238095238093
7795109-1_0,7795109-1_6,took office,10,15,6,False,0.3157894736842105
7795109-1_0,7795109-1_7,took office,10,17,5,True,0.22727272727272727
5391957-1_0,5391957-1_1,highest peak(s),29,35,18,False,0.391304347826087
5391957-1_0,5391957-1_2,highest peak(s),29,94,26,False,0.26804123711340205
5391957-1_0,5391957-1_3,highest peak(s),29,65,21,False,0.2876712328767123
5391957-1_0,5391957-1_4,highest peak(s),29,69,21,False,0.2727272727272727
5391957-1_0,5391957-1_5,highest peak(s),29,59,17,False,0.23943661971830985
5391957-1_0,5391957-1_6,highest peak(s),29,74,11,False,0.11956521739130435
5391957-1_0,5391957-1_7,highest peak(s),29,117,28,False,0.23728813559322035
5391957-1_0,5391957-1_8,highest peak(s),29,48,18,True,0.3050847457627119
32337267-3_0,32337267-3_1,country or territory,91,141,58,False,0.3333333333333333
32337267-3_0,32337267-3_2,country or territory,91,165,48,False,0.23076923076923078
32337267-3_0,32337267-3_3,country or territory,91,205,75,False,0.3393665158371041
32337267-3_0,32337267-3_4,country or territory,91,83,63,True,0.5675675675675675
23011488-1_0,23011488-1_1,name on the register,66,104,46,False,0.3709677419354839
23011488-1_0,23011488-1_2,name on the register,66,144,47,False,0.2883435582822086
23011488-1_0,23011488-1_3,name on the register,66,81,59,False,0.6704545454545454
23011488-1_0,23011488-1_4,name on the register,66,144,42,False,0.25
23011488-1_0,23011488-1_5,name on the register,66,118,54,False,0.4153846153846154
23011488-1_0,23011488-1_6,name on the register,66,143,58,False,0.3841059602649007
23011488-1_0,23011488-1_7,name on the register,66,133,37,False,0.22839506172839505
23011488-1_0,23011488-1_8,name on the register,66,68,57,True,0.7402597402597403
6049233-2_0,6049233-2_1,name,241,167,88,False,0.275
6049233-2_0,6049233-2_2,name,241,279,142,False,0.37566137566137564
6049233-2_0,6049233-2_3,name,241,324,204,False,0.5650969529085873
6049233-2_0,6049233-2_4,name,241,219,94,False,0.2568306010928962
6049233-2_0,6049233-2_5,name,241,304,141,False,0.349009900990099
6049233-2_0,6049233-2_6,name,241,313,147,False,0.36117936117936117
6049233-2_0,6049233-2_7,name,241,248,152,True,0.45103857566765576
539282-24_0,539282-24_1,club,32,43,14,False,0.22950819672131148
539282-24_0,539282-24_2,club,32,73,25,False,0.3125
539282-24_0,539282-24_3,club,32,35,20,False,0.425531914893617
539282-24_0,539282-24_4,club,32,66,13,True,0.15294117647058825
18608880-1_0,18608880-1_1,name,42,38,28,False,0.5384615384615384
18608880-1_0,18608880-1_2,name,42,67,29,False,0.3625
18608880-1_0,18608880-1_3,name,42,131,30,False,0.2097902097902098
18608880-1_0,18608880-1_4,name,42,117,32,False,0.25196850393700787
18608880-1_0,18608880-1_5,name,42,104,23,False,0.18699186991869918
18608880-1_0,18608880-1_6,name,42,31,20,False,0.37735849056603776
18608880-1_0,18608880-1_7,name,42,93,21,True,0.18421052631578946
19040545-1_0,19040545-1_1,county,23,47,13,False,0.22807017543859648
19040545-1_0,19040545-1_2,county,23,22,10,False,0.2857142857142857
19040545-1_0,19040545-1_3,county,23,43,10,False,0.17857142857142858
19040545-1_0,19040545-1_4,county,23,24,14,False,0.42424242424242425
19040545-1_0,19040545-1_5,county,23,28,17,False,0.5
19040545-1_0,19040545-1_6,county,23,33,16,False,0.4
19040545-1_0,19040545-1_7,county,23,34,19,True,0.5
11065920-2_0,11065920-2_1,name,24,29,17,False,0.4722222222222222
11065920-2_0,11065920-2_2,name,24,21,12,False,0.36363636363636365
11065920-2_0,11065920-2_3,name,24,12,9,False,0.3333333333333333
35809842-1_0,35809842-1_1,name,15,21,8,False,0.2857142857142857
35809842-1_0,35809842-1_2,name,15,19,11,False,0.4782608695652174
39659505-1_0,39659505-1_1,alternate title(s),3,8,1,False,0.1
39659505-1_0,39659505-1_2,alternate title(s),3,8,2,False,0.2222222222222222
39659505-1_0,39659505-1_3,alternate title(s),3,7,2,False,0.25
39659505-1_0,39659505-1_4,alternate title(s),3,7,3,False,0.42857142857142855
39659505-1_0,39659505-1_5,alternate title(s),3,4,3,False,0.75
39659505-1_0,39659505-1_6,alternate title(s),3,9,3,False,0.3333333333333333
39659505-1_0,39659505-1_7,alternate title(s),3,7,3,True,0.42857142857142855
11727563-3_0,11727563-3_1,title,20,22,17,False,0.68
14237932-1_0,14237932-1_1,name,54,70,29,False,0.30526315789473685
14237932-1_0,14237932-1_2,name,54,69,29,False,0.30851063829787234
14237932-1_0,14237932-1_3,name,54,47,38,False,0.6031746031746031
21119792-5_0,21119792-5_1,inactive volcano,23,79,8,False,0.0851063829787234
14389782-2_0,14389782-2_1,quarterback,10,24,4,False,0.13333333333333333
14389782-2_0,14389782-2_2,quarterback,10,25,4,False,0.12903225806451613
14389782-2_0,14389782-2_3,quarterback,10,27,7,False,0.23333333333333334
14389782-2_0,14389782-2_4,quarterback,10,12,5,False,0.29411764705882354
14389782-2_0,14389782-2_5,quarterback,10,17,8,False,0.42105263157894735
14389782-2_0,14389782-2_6,quarterback,10,13,3,False,0.15
14389782-2_0,14389782-2_7,quarterback,10,9,3,True,0.1875
12709965-2_0,12709965-2_1,spouse,11,9,3,False,0.17647058823529413
12709965-2_0,12709965-2_2,spouse,11,8,3,False,0.1875
12709965-2_0,12709965-2_3,spouse,11,16,9,False,0.5
12709965-2_0,12709965-2_4,spouse,11,14,3,False,0.13636363636363635
12709965-2_0,12709965-2_5,spouse,11,15,6,False,0.3
12709965-2_0,12709965-2_6,spouse,11,19,9,False,0.42857142857142855
12709965-2_0,12709965-2_7,spouse,11,23,5,False,0.1724137931034483
12709965-2_0,12709965-2_8,spouse,11,23,9,True,0.36
9008963-1_0,9008963-1_1,name,28,45,15,False,0.25862068965517243
9008963-1_0,9008963-1_2,name,28,67,23,False,0.3194444444444444
9008963-1_0,9008963-1_3,name,28,78,14,False,0.15217391304347827
9008963-1_0,9008963-1_4,name,28,39,12,True,0.21818181818181817
6059251-18_0,6059251-18_1,name,15,27,10,False,0.3125
6059251-18_0,6059251-18_2,name,15,12,10,False,0.5882352941176471
6059251-18_0,6059251-18_3,name,15,24,11,False,0.39285714285714285
6059251-18_0,6059251-18_4,name,15,26,9,False,0.28125
6059251-18_0,6059251-18_5,name,15,21,9,False,0.3333333333333333
6059251-18_0,6059251-18_6,name,15,26,9,True,0.28125
2462404-1_0,2462404-1_1,english title,31,15,12,False,0.35294117647058826
2462404-1_0,2462404-1_2,english title,31,36,25,False,0.5952380952380952
2462404-1_0,2462404-1_3,english title,31,25,9,False,0.19148936170212766
2462404-1_0,2462404-1_4,english title,31,42,19,False,0.35185185185185186
2462404-1_0,2462404-1_5,english title,31,27,15,False,0.3488372093023256
2462404-1_0,2462404-1_6,english title,31,48,21,False,0.3620689655172414
2462404-1_0,2462404-1_7,english title,31,28,15,False,0.3409090909090909
2462404-1_0,2462404-1_8,english title,31,28,20,True,0.5128205128205128
18718423-3_0,18718423-3_1,bank,44,109,35,False,0.2966101694915254
31807780-3_0,31807780-3_1,athlete,29,22,18,False,0.5454545454545454
31807780-3_0,31807780-3_2,athlete,29,35,19,False,0.4222222222222222
31807780-3_0,31807780-3_3,athlete,29,26,11,False,0.25
31807780-3_0,31807780-3_4,athlete,29,27,17,True,0.4358974358974359
30499920-1_0,30499920-1_1,station,10,21,4,False,0.14814814814814814
30499920-1_0,30499920-1_2,station,10,6,4,False,0.3333333333333333
30499920-1_0,30499920-1_3,station,10,8,4,False,0.2857142857142857
30499920-1_0,30499920-1_4,station,10,20,6,True,0.25
4161483-1_0,4161483-1_1,name on the register,15,20,8,False,0.2962962962962963
4161483-1_0,4161483-1_2,name on the register,15,25,11,False,0.3793103448275862
4161483-1_0,4161483-1_3,name on the register,15,8,5,False,0.2777777777777778
4161483-1_0,4161483-1_4,name on the register,15,7,4,False,0.2222222222222222
4161483-1_0,4161483-1_5,name on the register,15,20,6,False,0.20689655172413793
4161483-1_0,4161483-1_6,name on the register,15,15,12,False,0.6666666666666666
4161483-1_0,4161483-1_7,name on the register,15,19,6,True,0.21428571428571427
22686137-2_0,22686137-2_1,common name,9,15,6,False,0.3333333333333333
22686137-2_0,22686137-2_2,common name,9,23,6,False,0.23076923076923078
22686137-2_0,22686137-2_3,common name,9,27,7,False,0.2413793103448276
22686137-2_0,22686137-2_4,common name,9,20,5,False,0.20833333333333334
22686137-2_0,22686137-2_5,common name,9,23,6,False,0.23076923076923078
22686137-2_0,22686137-2_6,common name,9,4,2,False,0.18181818181818182
22686137-2_0,22686137-2_7,common name,9,7,5,False,0.45454545454545453
22686137-2_0,22686137-2_8,common name,9,17,6,True,0.3
27287912-2_0,27287912-2_1,name,28,39,24,False,0.5581395348837209
29955424-1_0,29955424-1_1,coach,13,14,10,False,0.5882352941176471
29955424-1_0,29955424-1_2,coach,13,19,13,False,0.6842105263157895
29955424-1_0,29955424-1_3,coach,13,16,12,False,0.7058823529411765
29955424-1_0,29955424-1_4,coach,13,17,11,False,0.5789473684210527
29955424-1_0,29955424-1_5,coach,13,12,11,True,0.7857142857142857
31502039-1_0,31502039-1_1,opponent opponent,58,49,18,False,0.20224719101123595
