l_id,r_id
nc_11401396,nc_511079
nc_3569312,nc_9442163
nc_3569312,nc_9522852
nc_3569312,nc_9549525
nc_9442163,nc_9522852
nc_9442163,nc_9549525
nc_9522852,nc_9549525
nc_12658910,nc_3213055
nc_12658910,nc_3174121
nc_3213055,nc_3174121
nc_1033927,nc_9114975
nc_8655919,nc_847046
nc_3462484,nc_10261176
nc_383933,nc_7826253
nc_7092750,nc_7022921
nc_1658211,nc_6300974
nc_9167292,nc_377059
nc_13224692,nc_3594362
nc_222684,nc_3714715
nc_299592,nc_9279844
nc_13183549,nc_5886110
nc_13183549,nc_13163371
nc_5886110,nc_13163371
nc_14061389,nc_13796606
nc_1725102,nc_9875432
nc_10088570,nc_10044324
nc_10720010,nc_10822483
nc_9241428,nc_3162167
nc_12849640,nc_9048294
nc_10204663,nc_9147746
nc_11372129,nc_1109019
nc_3259214,nc_10199232
nc_3259214,nc_10197402
nc_10199232,nc_10197402
nc_13774208,nc_9524560
nc_458535,nc_5924228
nc_12653724,nc_9632014
nc_3882171,nc_12662280
nc_6907861,nc_6913618
nc_13322968,nc_13275499
nc_13322968,nc_13053815
nc_13275499,nc_13053815
nc_10043546,nc_10316893
nc_7762573,nc_1124609
nc_9295678,nc_10184392
nc_6943500,nc_2266695
nc_5881021,nc_8820692
nc_2688355,nc_5887181
nc_11889663,nc_2380570
nc_9294462,nc_6883525
nc_11638665,nc_9261657
nc_11638665,nc_9110818
nc_9261657,nc_9110818
nc_3838687,nc_8599434
nc_7224116,nc_10030351
nc_9538517,nc_9343313
nc_13185402,nc_7756118
nc_12397998,nc_3271502
nc_12397998,nc_13451107
nc_3271502,nc_13451107
nc_2396239,nc_2463453
nc_7622974,nc_8265186
nc_9435759,nc_5891119
nc_9435759,nc_8798260
nc_5891119,nc_8798260
nc_8662274,nc_9822184
nc_8662274,nc_7893916
nc_9822184,nc_7893916
nc_6205731,nc_3721551
nc_9889974,nc_3207613
nc_1635232,nc_12346118
nc_1635232,nc_8603834
nc_12346118,nc_8603834
nc_2343115,nc_2694612
nc_2343115,nc_2593521
nc_2694612,nc_2593521
nc_1374947,nc_12212471
nc_6405446,nc_7984876
nc_14041406,nc_13810718
nc_8219948,nc_12709211
nc_8219948,nc_10807443
nc_12709211,nc_10807443
nc_515017,nc_681446
nc_10442920,nc_8933600
nc_10442920,nc_9616447
nc_10442920,nc_8932722
nc_8933600,nc_9616447
nc_8933600,nc_8932722
nc_9616447,nc_8932722
nc_6579221,nc_6539628
nc_9131514,nc_12993124
nc_7965941,nc_7961638
nc_7965941,nc_7760144
nc_7961638,nc_7760144
nc_12188650,nc_9961267
nc_11701379,nc_9954806
nc_1952389,nc_11424190
nc_9567294,nc_10765090
nc_9567294,nc_10722410
nc_10765090,nc_10722410
nc_13762416,nc_8650985
nc_12888359,nc_3228539
nc_12888359,nc_12719198
nc_3228539,nc_12719198
nc_3993698,nc_10686025
nc_9708759,nc_12731768
nc_7484612,nc_8321824
nc_2453279,nc_6222094
nc_3831124,nc_3078727
nc_567508,nc_6055479
nc_6389341,nc_12170989
nc_11850471,nc_6570136
nc_1100921,nc_7595775
nc_8945062,nc_8977828
nc_13615512,nc_2238885
nc_13544278,nc_10459492
nc_3881862,nc_10492461
nc_9014546,nc_8933448
nc_14138894,nc_3897673
nc_9612973,nc_9580530
nc_11343991,nc_972768
nc_1985424,nc_8444304
nc_12046907,nc_8264892
nc_3203631,nc_9820852
nc_7032354,nc_816274
nc_1907256,nc_6234778
nc_1907256,nc_1863928
nc_6234778,nc_1863928
nc_33887,nc_3394387
nc_10308145,nc_3769407
nc_11273565,nc_1036290
nc_3286542,nc_3399700
nc_8000118,nc_8415338
nc_11112349,nc_1115538
nc_11112349,nc_13825591
nc_1115538,nc_13825591
nc_622944,nc_6026057
nc_11140616,nc_294023
nc_8222055,nc_1145388
nc_8222055,nc_8695761
nc_1145388,nc_8695761
nc_9554387,nc_8380376
nc_9554387,nc_9237811
nc_8380376,nc_9237811
nc_9430019,nc_478005
nc_3553514,nc_12720980
nc_13146712,nc_3390504
nc_615209,nc_11317535
nc_966277,nc_7614686
nc_494343,nc_7178163
nc_2733271,nc_2502823
nc_2733271,nc_12294479
nc_2502823,nc_12294479
nc_9656291,nc_3226329
nc_94392,nc_9631110
nc_12687191,nc_6892218
nc_12687191,nc_12383998
nc_6892218,nc_12383998
nc_8858766,nc_1760011
nc_9700262,nc_187386
nc_6741413,nc_6803005
nc_6741413,nc_6694171
nc_6803005,nc_6694171
nc_3385128,nc_13023356
nc_2854857,nc_2978128
nc_2012257,nc_7018498
nc_6337002,nc_1686049
nc_2065533,nc_329837
nc_6686660,nc_2007920
nc_6686660,nc_3718511
nc_6686660,nc_9843612
nc_2007920,nc_3718511
nc_2007920,nc_9843612
nc_3718511,nc_9843612
nc_115655,nc_9713830
nc_12193367,nc_12506881
nc_1087327,nc_7341255
nc_6944894,nc_10386484
nc_10489794,nc_12302267
nc_10489794,nc_10059957
nc_12302267,nc_10059957
nc_8248962,nc_8690505
nc_8248962,nc_6352711
nc_8690505,nc_6352711
nc_7487142,nc_12284645
nc_12544032,nc_9803199
nc_12544032,nc_1718553
nc_12544032,nc_12330938
nc_12544032,nc_10319794
nc_9803199,nc_1718553
nc_9803199,nc_12330938
nc_9803199,nc_10319794
nc_1718553,nc_12330938
nc_1718553,nc_10319794
nc_12330938,nc_10319794
nc_9155755,nc_1683677
nc_12842060,nc_10600169
nc_1742657,nc_1390858
nc_10009403,nc_9976890
nc_6968040,nc_10550095
nc_9269681,nc_9554390
nc_7818661,nc_11989918
nc_12106397,nc_7601478
nc_2633166,nc_2563821
nc_6947717,nc_13782164
nc_9627357,nc_10184587
nc_1337072,nc_2817503
nc_17075,nc_10292328
nc_14053745,nc_13818490
nc_14053745,nc_13810118
nc_14053745,nc_13881431
nc_13818490,nc_13810118
nc_13818490,nc_13881431
nc_13810118,nc_13881431
nc_12628793,nc_1694165
nc_6538406,nc_11797872
nc_309215,nc_2874784
nc_3011080,nc_3026149
nc_12846229,nc_13742275
nc_12846229,nc_13028786
nc_13742275,nc_13028786
nc_5899493,nc_11469402
nc_5899493,nc_5861449
nc_11469402,nc_5861449
nc_10179287,nc_9418808
nc_10179287,nc_6824833
nc_9418808,nc_6824833
nc_12857232,nc_983369
nc_2222944,nc_3320042
nc_2222944,nc_10560557
nc_2222944,nc_10078449
nc_3320042,nc_10560557
nc_3320042,nc_10078449
nc_10560557,nc_10078449
nc_13042832,nc_5882264
nc_7468582,nc_12291982
nc_995245,nc_8057830
nc_13135098,nc_7774733
nc_13135098,nc_13097441
nc_7774733,nc_13097441
nc_8794861,nc_8766154
nc_7272593,nc_830486
nc_9841190,nc_3744443
nc_8663305,nc_7342566
nc_8663305,nc_8080839
nc_7342566,nc_8080839
nc_6863991,nc_5888938
nc_2626947,nc_2288651
nc_2626947,nc_2629895
nc_2288651,nc_2629895
nc_12021562,nc_12166242
nc_9007289,nc_10576813
nc_9007289,nc_9003342
nc_9007289,nc_13241517
nc_10576813,nc_9003342
nc_10576813,nc_13241517
nc_9003342,nc_13241517
nc_10169103,nc_9583426
nc_10169103,nc_9537915
nc_9583426,nc_9537915
nc_221004,nc_10124532
nc_14062651,nc_12382317
nc_13542645,nc_724673
nc_13148592,nc_12626953
nc_13148592,nc_8909405
nc_13148592,nc_3186166
nc_12626953,nc_8909405
nc_12626953,nc_3186166
nc_8909405,nc_3186166
nc_13785693,nc_7085810
nc_13785693,nc_7066643
nc_7085810,nc_7066643
nc_12670481,nc_12843122
nc_13899880,nc_8446955
nc_472247,nc_7526507
nc_1946901,nc_7250433
nc_8650315,nc_7620042
nc_13229826,nc_12315976
nc_12139310,nc_8420518
nc_1894613,nc_2970290
nc_1894613,nc_12738582
nc_2970290,nc_12738582
nc_12528503,nc_13083914
nc_12528503,nc_13547679
nc_12528503,nc_12921358
nc_12528503,nc_12820302
nc_13083914,nc_13547679
nc_13083914,nc_12921358
nc_13083914,nc_12820302
nc_13547679,nc_12921358
nc_13547679,nc_12820302
nc_12921358,nc_12820302
nc_8665012,nc_11448477
nc_7285270,nc_7289212
nc_7285270,nc_7251055
nc_7289212,nc_7251055
nc_12852243,nc_13133287
nc_12852243,nc_10975982
nc_13133287,nc_10975982
nc_1000300,nc_11874919
nc_520393,nc_6058179
nc_1702629,nc_1725407
nc_1702629,nc_1712971
nc_1725407,nc_1712971
nc_790813,nc_6045612
nc_790813,nc_7041022
nc_6045612,nc_7041022
nc_2557785,nc_8802815
nc_8994216,nc_3823125
nc_8413111,nc_8330978
nc_8413111,nc_7504798
nc_8330978,nc_7504798
nc_10462973,nc_1877574
nc_164309,nc_3621638
nc_2920571,nc_7471554
nc_2920571,nc_2969248
nc_7471554,nc_2969248
nc_11917140,nc_7693580
nc_11917140,nc_8351087
nc_7693580,nc_8351087
nc_560423,nc_693873
nc_6402570,nc_6326151
nc_3554022,nc_9850886
nc_1983736,nc_6568518
nc_1983736,nc_8376656
nc_6568518,nc_8376656
nc_12079254,nc_8032996
nc_12079254,nc_1017576
nc_8032996,nc_1017576
nc_10045346,nc_8599682
nc_12390337,nc_3693802
nc_5960787,nc_2223694
nc_5960787,nc_1354187
nc_2223694,nc_1354187
nc_12666231,nc_12579509
nc_11617515,nc_10216465
nc_12353429,nc_8658990
nc_2621680,nc_12727572
nc_6145193,nc_562172
nc_6499776,nc_11226809
nc_7784512,nc_3176892
nc_1773216,nc_13688446
nc_1773216,nc_1693346
nc_1773216,nc_3395450
nc_13688446,nc_1693346
nc_13688446,nc_3395450
nc_1693346,nc_3395450
nc_7936164,nc_3295097
nc_7246443,nc_894903
nc_6829519,nc_9241139
nc_6968423,nc_13838324
nc_6968423,nc_13394580
nc_13838324,nc_13394580
nc_6785210,nc_13559230
nc_1202870,nc_1351094
nc_9660454,nc_11975302
nc_2658622,nc_11493536
nc_13483674,nc_7447002
nc_5967213,nc_470887
nc_12250826,nc_5883435
nc_6907181,nc_3229220
nc_8952665,nc_13548107
nc_8952665,nc_8897766
nc_13548107,nc_8897766
nc_13659423,nc_9022297
nc_10836165,nc_8809482
nc_1381673,nc_2112247
nc_10267222,nc_10170736
nc_3335986,nc_13015724
nc_13521956,nc_12724985
nc_13521956,nc_13347990
nc_12724985,nc_13347990
nc_14048147,nc_3811129
nc_13536100,nc_3232470
nc_13536100,nc_12508429
nc_3232470,nc_12508429
nc_441898,nc_2806574
nc_9842572,nc_13219341
nc_423624,nc_647385
nc_399847,nc_9257305
nc_7779346,nc_6490887
nc_10520838,nc_947456
nc_6857538,nc_1856884
nc_6857538,nc_1049292
nc_1856884,nc_1049292
nc_3904931,nc_3904925
nc_3904931,nc_3904927
nc_3904925,nc_3904927
nc_1413864,nc_1373162
nc_12360658,nc_6201274
nc_7020723,nc_1045330
nc_11745466,nc_6464960
nc_11894822,nc_10944526
nc_10067806,nc_9637253
nc_12285532,nc_8498282
nc_357462,nc_12753918
nc_652904,nc_6115154
nc_652904,nc_6084407
nc_6115154,nc_6084407
nc_1007921,nc_8411257
nc_2695287,nc_7783415
nc_8528109,nc_8505853
nc_8528109,nc_8422352
