_id,name,address,year,agency,source,counselor,amount,status
funding_00000,Coalition for the Homeless,,2013,DHS,Citywide Homeless Prevention Fund,,150000.0,Pending
funding_00001,The Bridge Fund,,2013,DHS,Citywide Homeless Prevention Fund,,50000.0,Pending
funding_00002,Community Service Society,,2013,DHS,Citywide Homeless Prevention Fund,,50000.0,Pending
funding_00003,"Bed Stuy's Project Re-Generation, Inc.","679 Lafayette Avenue, 2nd Floor Brooklyn, NY 11216",2011,DYCD,Youth,Mealy,2000.0,Cleared
funding_00004,"Bed Stuy's Project Re-Generation, Inc.","679 Lafayette Avenue, 2nd Floor Brooklyn, NY 11216",2011,DYCD,Youth,James,10000.0,Cleared
funding_00005,"Bed Stuy's Project Re-Generation, Inc.","679 Lafayette Avenue, 2nd Floor Brooklyn, NY 11216",2011,DYCD,Youth,Vann,10000.0,Cleared
funding_00006,"Bed Stuy's Project Re-Generation, Inc.","679 Lafayette Avenue Brooklyn, NY 11216",2012,DYCD,Youth,Vann,10000.0,Cleared
funding_00007,Learning Spring Elementary School,"254 West 29th Street, Floor 4 New York, NY 10001",2009,DOE,Local,Quinn,10000.0,Cleared
funding_00008,"Friends of Firefighters, Inc.","199 Van Brunt Street Brooklyn, NY 11231",2011,DOHMH,Local,Crowley,1000.0,Cleared
funding_00009,"Friends of Firefighters, Inc.","199 Van Brunt Street Brooklyn, NY 11231",2011,DOHMH,Local,Lander,3500.0,Cleared
funding_00010,"Friends of Firefighters, Inc.","199 Van Brunt Street Brooklyn, NY 11231",2011,DOHMH,Local,Gonzalez,4000.0,Cleared
funding_00011,"Friends of Firefighters, Inc.","199 Van Brunt Street Brooklyn, NY 11231",2012,DOHMH,Local,Crowley,5000.0,Cleared
funding_00012,"Friends of Firefighters, Inc.","199 Van Brunt Street Brooklyn, NY 11231",2012,DOHMH,Local,Gentile,2500.0,Cleared
funding_00013,"Friends of Firefighters, Inc.","199 Van Brunt Street Brooklyn, NY 11231",2012,DOHMH,Local,Gonzalez,5000.0,Cleared
funding_00014,"Friends of Firefighters, Inc.","199 Van Brunt Street Brooklyn, NY 11231",2012,DOHMH,Local,Halloran,0.0,CBO Defunded
funding_00015,"Friends of Firefighters, Inc.","199 Van Brunt Street Brooklyn, NY 11231",2012,DOHMH,Local,Lander,3500.0,Cleared
funding_00016,"Ecuadorian International Center, Inc.","37-47 76th Street Jackson Heights, NY 11372",2011,DYCD,Youth,Ferreras,6000.0,Cleared
funding_00017,"Ecuadorian International Center, Inc.","37-47 76th Street Jackson Heights, NY 11372",2011,DYCD,Local,Ferreras,10000.0,Cleared
funding_00018,"Ecuadorian International Center, Inc.","37-47 76th Street Jackson Heights, NY 11372",2011,DYCD,Local,Dromm,14000.0,Cleared
funding_00019,"Ecuadorian International Center, Inc.","37-47 76th Street Jackson Heights, NY 11372",2011,DYCD,Adult Literacy,,30952.38,Cleared
funding_00020,"Ecuadorian International Center, Inc.","37-47 76th Street Jackson Heights, NY 11372",2011,DYCD,IOI,Queens,25000.0,Cleared
funding_00021,"Ecuadorian International Center, Inc.","37-47 76th Street Jackson Heights, NY 11372-6533",2012,DYCD,Local,Dromm,6000.0,Cleared
funding_00022,"Ecuadorian International Center, Inc.","37-47 76th Street Jackson Heights, NY 11372-6533",2012,DYCD,Local,Ferreras,5000.0,Cleared
funding_00023,"Ecuadorian International Center, Inc.","37-47 76th Street Jackson Heights, NY 11372",2012,DYCD,Adult Literacy Services Initiative,,30000.0,Cleared
funding_00024,"Ecuadorian International Center, Inc.","37-47 76th Street Jackson Heights, NY 11372",2012,DYCD,Immigrant Opportunities Initiative,Queens,25000.0,Cleared
funding_00025,"Retirees of Dreiser Loop , Inc., The","177 Dreiser Loop, Room 19 Bronx, NY 10475",2011,DFTA,Aging,Seabrook,23000.0,Cleared
funding_00026,"Retirees of Dreiser Loop , Inc., The","177 Dreiser Loop Room 19 Bronx, NY 10475",2012,DFTA,Aging,Seabrook,48000.0,Cleared
funding_00027,ACTS Community Development Corporation,"2114 Mermaid Avenue Brooklyn, NY 11224",2011,DYCD,Local,Recchia,5000.0,Cleared
funding_00028,ACTS Community Development Corporation,"2114 Mermaid Avenue Brooklyn, NY 11224",2011,DYCD,Local,Recchia,5000.0,Cleared
funding_00029,ACTS Community Development Corporation,"1913 West 7th Street Brooklyn, NY 11223",2012,DYCD,Local,Williams,5000.0,Cleared
funding_00030,ACTS Community Development Corporation,"1913 West 7th Street Brooklyn, NY 11223",2012,DYCD,Local,Recchia,5000.0,Cleared
funding_00031,"Council of Urban Professionals, Inc.","55 Exchange Place, Suite 501 New York, NY 10005",2011,DYCD,Local,Recchia,3000.0,Cleared
funding_00032,"Council of Urban Professionals, Inc.","55 Exchange Place, Suite 501 New York, NY 10005",2011,DYCD,Boro,"Chin, Mendez, Garodnick, Lappin, Brewer, Jackson, Viverito, Dickens, Rodriguez",3500.0,Cleared
funding_00033,"Council of Urban Professionals, Inc.","55 Exchange Place, 501 New York, NY 10005",2011,DYCD,Local,Garodnick,3500.0,Cleared
funding_00034,"Council of Urban Professionals, Inc.","55 Exchance Place, Suite 501 New York, NY 10005",2011,DYCD,Local,CC,15000.0,Cleared
funding_00035,American Wu Shu Society,"34-38 41st Street, Apartment BD Long Island City, NY 11101",2011,DYCD,Youth,"Vallone, Jr",8000.0,Cleared
funding_00036,Nostrand Residents Association,"2356 Bragg Street, Apt. 4-A Brooklyn, NY 11235",2009,MISC,Local,Nelson,5000.0,Cleared
funding_00037,Nostrand Residents Association,"2343 Batchelder Street, 1F Brooklyn, NY 11235",2011,MISC,Local,Nelson,5000.0,Cleared
funding_00038,Nostrand Residents Association,"2343 Batchelder Street- 1F Brooklyn, NY 11229-5355",2012,NYCHA,Local,Nelson,3500.0,Cleared
funding_00039,"Open Space Alliance for North Brooklyn, Inc.","79 North 11th Street Brooklyn, NY 11211",2011,DPR,Local,Levin,5000.0,Cleared
funding_00040,"Open Space Alliance for North Brooklyn, Inc.","79 North 11th Street Brooklyn, NY 11211",2011,DPR,Local,Reyna,10000.0,Cleared
funding_00041,"Open Space Alliance for North Brooklyn, Inc.","79 North 11th Street Brooklyn, NY 11211",2012,DPR,Local,Levin,3500.0,Cleared
funding_00042,"Open Space Alliance for North Brooklyn, Inc.","79 North 11th Street Brooklyn, NY 11211",2012,DPR,Local,Reyna,5000.0,Cleared
funding_00043,St. John's Recreation Center,"1251 Prospect Place Brooklyn, NY 11213",2011,DFTA,Aging,Vann,5000.0,Pending
funding_00044,St. John's Recreation Center,"1251 Prospect Place Brooklyn, NY 11213",2012,DFTA,Aging,Vann,5000.0,Cleared
funding_00045,"African Refuge, Inc.","185 Park Hill Avenue Staten Island, NY 10304",2011,DYCD,Local,Rose,5000.0,Cleared
funding_00046,"African Refuge, Inc.","185 Park Hill Ave Suite LB Staten Island, NY 10304",2012,DYCD,Youth,Rose,5000.0,Cleared
funding_00047,"Peace Action Fund of New York State, Inc.","630 Ninth Avenue, #807 New York, NY 10036",2011,DYCD,Local,Rose,5000.0,Cleared
funding_00048,"Peace Action Fund of New York State, Inc.","64 Fulton Street New York, NY 10038",2012,DYCD,Local,Rose,5000.0,Cleared
funding_00049,Church of the Living God International,"205-15 Jamaica Avenue Queens, NY 11423",2012,DOHMH,HIV/AIDS Faith Based Initiative,,6400.0,Cleared
funding_00050,"Open House New York, Inc.","115 West 27th Street, 9th Floor New York, NY 10001",2011,DCA,Local,Quinn,3000.0,Cleared
funding_00051,"Open House New York, Inc.","115 West 27th Street, 9th Floor New York, NY 10001",2011,DYCD,Youth,Garodnick,5000.0,Cleared
funding_00052,"Open House New York, Inc.","115 West 27th Street Floor 9 New York, NY 10001-6217",2012,DCA,Boro,Manhattan Delegation,3500.0,Cleared
funding_00053,"Open House New York, Inc.","115 West 27th Street Floor 9 New York, NY 10001-6217",2012,DCA,Local,Quinn,4000.0,Cleared
funding_00054,"Open House New York, Inc.","115 West 27th Street Floor 9 New York, NY 10001-6217",2012,DYCD,Youth,Garodnick,5000.0,Cleared
funding_00055,"AK Houses Tenant Association, Inc.","112-126 East 128th Street New York, NY 10035",2011,DYCD,Local,Dickens,3500.0,Pending
funding_00056,"AK Houses Tenant Association, Inc.","110 East 129th Street New York, NY 10035",2012,DYCD,Local,Dickens,3500.0,Cleared
funding_00057,"Brooklyn Ballet, Inc.","160 Schermerhorn Street Brooklyn, NY 11201",2011,DCA,Local,Levin,4000.0,Cleared
funding_00058,"Brooklyn Ballet, Inc.","160 Schermerhorn Street Brooklyn, NY 11201",2011,DCA,Local,James,5000.0,Cleared
funding_00059,"Brooklyn Ballet, Inc.","160 Schermerhorn Street Brooklyn, NY 11201",2011,DCA,Local,Fidler,18500.0,Cleared
funding_00060,"Brooklyn Ballet, Inc.","160 Schermerhorn Street Brooklyn, NY 11201",2012,DCA,Local,Fidler,18500.0,Cleared
funding_00061,"Brooklyn Ballet, Inc.","160 Schermerhorn Street Brooklyn, NY 11201",2012,DCA,Local,James,3000.0,Cleared
funding_00062,"Brooklyn Ballet, Inc.","160 Schermerhprn Street Brooklyn, NY 11201",2012,DCA,Local,Levin,4000.0,Cleared
funding_00063,Ralph Lauren Center for Cancer Care and Prevention,"1919 Madison Avenue Manhattan, NY 10035",2013,DOHMH,Cancer Initiative,,100000.0,Pending
funding_00064,"Northeastern Conference of Seventh Day Adventists Community Affairs, Inc.","115-50 Merrick Boulevard Jamaica, NY 11484",2011,DFTA,Aging,Eugene,15000.0,Cleared
funding_00065,"Northeastern Conference of Seventh Day Adventists, Inc.","115-50 Merrick Boulevard Jamaica, NY 11434",2011,DYCD,Food Pantries,Queens,5000.0,Pending
funding_00066,"Northeastern Conference of Seventh Day Adventists Community Affairs, Inc.","115-50 Merrick Blvd Jamaica, NY 11436",2012,DFTA,Aging,Eugene,15000.0,Pending
funding_00067,"Parents as Primary Teachers, Inc.","198 Hancock Street Brooklyn, NY 11216",2011,DYCD,Youth,Vann,10000.0,Cleared
funding_00068,"Parents as Primary Teachers, Inc.","198 Hancock Street Brooklyn, NY 11216-2104",2012,DYCD,Youth,Vann,10000.0,Cleared
funding_00069,Survivors Fountain of Hope Wellness Initiative ,"436 Lenox Avenue 2nd Fl New York, NY 10037",2011,DOHMH,HIV/AIDS Faith Based Initiative,,6400.0,Pending
funding_00070,Survivors Fountain of Hope Wellness Initiative ,"436 Lenox Avenue 2nd Fl Manhattan, NY 10037",2012,DOHMH,HIV/AIDS Faith Based Initiative,,0.0,CBO Defunded
funding_00071,"CONNECT, Inc.",,2012,ACS,"CONNECT, Inc. Community Empowerment Program",,330000.0,Cleared
funding_00072,"Connect, Inc.","P.O. Box 20217 Greeley Square Station New York, NY 10001",2011,ACS,Connect,,270000.0,Cleared
funding_00073,"Connect, Inc.","P.O. Box 20217 Greeley Square Station New York, NY 10001",2011,MISC,DoVE,,81250.0,Cleared
funding_00074,"Connect, Inc. ","P.O. Box 20217 Greeley Square Station New York, NY 10001",2011,DSS,Local,Dickens,5000.0,Cleared
funding_00075,"Connect, Inc.","P.O. Box 20217, Greeley Square Station New York, NY 10001",2012,MISC,Domestic Violence and Empowerment (DoVE) Initiative,,81250.0,Cleared
funding_00076,CONNECT,,2012,ACS,"CONNECT, Inc. Community Empowerment Program",,270000.0,Cleared
funding_00077,"Connect, Inc.","PO Box 20217 Greeley Square Station New York, NY 10001",2012,DSS,Local,Comrie,3500.0,Cleared
funding_00078,"Connect, Inc.","PO Box 20217 Greeley Square Station New York, NY 10001",2012,DYCD,Local,Dickens,5000.0,Cleared
funding_00079,"Connect, Inc.","PO Box 20217 Greeley Square Station New York, NY 10001",2012,DYCD,Local,Rose,3500.0,Cleared
funding_00080,"Connect, Inc.","P.O. Box 20217, Greeley Square Station New York, NY 10001",2013,ACS,"CONNECT, Inc. Community Empowerment Program",,300000.0,Pending
funding_00081,"Connect, Inc.","P.O. Box 20217, Greeley Square Station New York, NY 10001",2013,OCJC,Domestic Violence and Empowerment (DoVE Initiative,,81250.0,Pending
funding_00082,"Russian American Cultural Heritage Center, Inc., The","34 Hillside Avenue, 4C New York, NY 10040",2011,DYCD,Local,Jackson,3500.0,Cleared
funding_00083,"Russian American Cultural Heritage Center, Inc., The","34 Hillside Ave 4C New York, NY 10040",2012,DYCD,Youth,Jackson,0.0,CBO Defunded
funding_00084,"Russian American Cultural Heritage Center, Inc., The","34 Hillside Ave 4C New York, NY 10040",2012,DCA,Local,Rodriguez,3000.0,Cleared
funding_00085,"Russian American Cultural Heritage Center, Inc., The","34 Hillside Ave 4C New York, NY 10040",2012,DYCD,Youth,Jackson,3500.0,Cleared
funding_00086,"Striking Viking Story Pirates, Inc.","250 West 40th Street New York, NY 10018",2010,DCA,CASA,Arroyo,20000.0,Pending
funding_00087,"Striking Viking Story Pirates, Inc.","56 Beaver Street #205 New York, NY 10004",2010,DCA,CASA,Reyna,20000.0,Pending
funding_00088,"Striking Viking Story Pirates, Inc.","56 Beaver Street #205 New York, NY 10004",2010,DCA,CASA,Reyna,20000.0,Pending
funding_00089,"Striking Viking Story Pirates, Inc.","56 Beaver Street #205 New York, NY 10004",2010,DCA,CASA,Reyna,20000.0,Pending
funding_00090,"Striking Viking Story Pirates, Inc.","56 Beaver Street #205 New York, NY 10004",2010,DCA,CASA,Reyna,20000.0,Pending
funding_00091,"Striking Viking Story Pirates, Inc.","56 Beaver Street #205 New York, NY 10004",2010,DCA,CASA,Reyna,20000.0,Pending
funding_00092,"Striking Viking Story Pirates, Inc.","250 West 40th Street New York, NY 10018",2011,DCA,Local,Quinn,3000.0,Cleared
funding_00093,"Striking Viking Story Pirates, Inc.","250 West 40th Street New York, NY 10018",2011,DYCD,Youth,Palma,3500.0,Cleared
funding_00094,"Striking Viking Story Pirates, Inc.","250 West 40th Street New York, NY 10018",2011,DCA,CASA,Arroyo,20000.0,Cleared
funding_00095,"Striking Viking Story Pirates, Inc.","250 West 40th Street New York, NY 10018",2011,DCA,CASA,Reyna,20000.0,Cleared
funding_00096,"Striking Viking Story Pirates, Inc.","251 West 40th Street New York, NY 10018",2011,DCA,CASA,Reyna,20000.0,Cleared
funding_00097,"Striking Viking Story Pirates, Inc.","252 West 40th Street New York, NY 10018",2011,DCA,CASA,Reyna,20000.0,Cleared
funding_00098,"Striking Viking Story Pirates, Inc.","253 West 40th Street New York, NY 10018",2011,DCA,CASA,Reyna,20000.0,Cleared
funding_00099,"Striking Viking Story Pirates, Inc.","254 West 40th Street New York, NY 10018",2011,DCA,CASA,Reyna,20000.0,Cleared
funding_00100,"Striking Viking Story Pirates, Inc.","co The Drama Bookshop New York, NY 10018",2012,DCA,Local,Quinn,3000.0,Cleared
funding_00101,"Striking Viking Story Pirates, Inc.","co The Drama Bookshop New York, NY 10018",2012,DYCD,Youth,Palma,3500.0,Cleared
funding_00102,"Striking Viking Story Pirates, Inc.","250 West 40th Street NY, NY 10018",2012,DCA,Cultural After-School Adventure (CASA) ,Arroyo,20000.0,Cleared
funding_00103,"Striking Viking Story Pirates, Inc.","250 West 40th Street NY, NY 10018",2012,DCA,Cultural After-School Adventure (CASA) ,Reyna,20000.0,Cleared
funding_00104,"Striking Viking Story Pirates, Inc.","251 West 40th Street NY, NY 10018",2012,DCA,Cultural After-School Adventure (CASA) ,Reyna,20000.0,Cleared
funding_00105,Middle School 313K - Satellite West MS,"209 York Street Brooklyn, NY 11201",2009,DOE,Local,James,3500.0,Cleared
funding_00106,St. Andrew's Avellino Athletic Association ,"33-76 159th Street Flushing, NY 11358",2011,DYCD,Youth,Halloran,5000.0,Cleared
funding_00107,   49th Precinct Law Enforcement Explorers Post 2049,"2121 Eastchester Road Bronx, NY 10461",2012,DYCD,Local,Vacca,3500.0,Cleared
funding_00108, 49th Precinct Law Enforcement Explorers Post 2049,"2121 Eastchester Road Bronx, NY 10461",2011,DYCD,Local,Vacca,3500.0,Cleared
funding_00109,NYCHA 589 Amsterdam Avenue Tenant Association,"589 Amsterdam Avenue, 14G New York, NY 10024",2011,MISC,Local,Brewer,2000.0,Cleared
funding_00110,NYCHA 589 Amsterdam Avenue Tenant Association,"589 Amsterdam Avenue, 14G New York, NY 10024",2012,NYCHA,Local,Brewer,2000.0,Cleared
funding_00111,First Faith Baptist Church,"224-07 Linden Boulevard Cambria Heights, NY 11411",2011,DYCD,Local,Comrie,15000.0,Cleared
funding_00112,First Faith Baptist Church,"114-02 208th Street Cambria Heights, NY 11411",2012,DYCD,Local,Comrie,15000.0,Cleared
funding_00113,First Faith Baptist Church,"114-02 208th Street Cambria Heights, NY 11411",2012,DYCD,Local,Wills,5000.0,Cleared
funding_00114,"Dem Stars, Inc.","953 EAST 83 STREET Brooklyn, NY 11236",2012,DYCD,Local,Fidler,7500.0,Cleared
funding_00115,"Dem Stars, Inc.","953 East 83rd Street Brooklyn, NY 11236",2011,DYCD,Local,Fidler,10000.0,Pending
funding_00116,"South Brooklyn Youth Consortium, Inc.","2811 Mermaid Avenue, 2nd Floor Brooklyn, NY 11224",2011,DYCD,Youth,Recchia,35000.0,Cleared
funding_00117,"South Brooklyn Youth Consortium, Inc.","2811 Mermaid Avenue, 2nd Floor Broolyn, NY 11224",2011,DYCD,Local,CC,40000.0,Cleared
funding_00118,"South Brooklyn Youth Consortium, Inc.","2811 Mermaid Avenue, 2nd Floor Broolyn, NY 11224",2011,DFTA,NORC,,79200.0,Cleared
funding_00119,"South Brooklyn Youth Consortium, Inc.","2811 Mermaid Avenue 2nd Floor Brooklyn, NY 11224",2012,DYCD,Youth,Recchia,75000.0,Cleared
funding_00120,"South Brooklyn Youth Consortium, Inc.- South Brooklyn Youth NORC ",,2012,DFTA,NORC Supportive Service Program,,79200.0,Cleared
funding_00121,South Brooklyn Youth NORC,,2012,DFTA,NORC Supportive Service Program,,0.0,CBO Defunded
funding_00122,"South Brooklyn Youth Consortium, Inc.- South Brooklyn Youth NORC ",,2013,DFTA,NORC Supportive Service Program,,79200.0,Pending
funding_00123,NUR-UL-ISLAM,"149-21 116 STREET SOUTH OZONE PARK, NY 11420",2012,DYCD,Local,Wills,7000.0,Cleared
funding_00124,NUR-UL-ISLAM,"149-21 116 STREET SOUTH OZONE PARK, NY 11420",2012,DYCD,Local,Wills,3500.0,Cleared
funding_00125,NUR-UL-ISLAM,"149-21 116 STREET SOUTH OZONE PARK, NY 11420",2012,DYCD,Local,Wills,1500.0,Cleared
funding_00126,Risley Dent Towers Senior Program,"1595 Fulton Street Brooklyn, NY 11213",2011,DFTA,Aging,Vann,3000.0,Pending
funding_00127,Risley Dent Towers Senior Program,"1595 Fulton Street Brooklyn, NY 11213",2011,DFTA,Aging,Vann,1000.0,Pending
funding_00128,Risley Dent Towers Senior Program,"1595 Fulton Street Brooklyn, NY 11213",2012,DFTA,Aging,Vann,4000.0,Cleared
funding_00129,Coney Island History Project,"3059 West 12th Street c/o Deno's Wonder Wheel Park Brooklyn, NY 11224",2012,DCA,Cultural After-School Adventure (CASA) ,Levin,0.0,CBO Defunded
funding_00130,Bayview Houses Resident's Association,"2085 Rockaway Parkway #7H Brooklyn, NY 11236",2011,MISC,Local,Barron,2300.0,Government
funding_00131,Bayview Houses Resident's Association,"2085 Rockaway Parkway Brooklyn, NY 11236",2012,NYCHA,Local,Barron,2300.0,Cleared
funding_00132,"Man Up!, Inc.","821 Van Siclen Avenue Brooklyn, NY 11207",2010,DYCD,CASA,Barron,20000.0,Pending
