_id,ltable_id,rtable_id,label,ltable_name,ltable_brand,ltable_size,ltable_price,rtable_name,rtable_brand,rtable_size,rtable_price
0,altosight_134,altosight_273,1,intenso 3503470 basic line 16 gb usb-stick 16 gb,intenso,16.0,7.99,intenso basic line 3503470 16gb usb 2.0 flash drive,intenso,16.0,8.03
1,altosight_424,altosight_664,1,"carte mã©moire microsdhc sandisk ultra plus 128 go, classe 10, vitesse de lecture allant jusqu'ã  80 mo/s + adaptateur sd",sandisk,128.0,74.99,carte mã©moire sandisk ultra plus microsdxc 128go 80mo/seconde uhs-i avec adaptateur sd\n,sandisk,128.0,80.04
2,altosight_322,altosight_542,1,lexar ljdc20m-128bbeuk jumpdrive c20m micro-usb-flash-laufwerk 128gb,lexar,128.0,53.61,"clã© usb lexar jumpdrive c20m 128gb 128gb usb 3.0 (3.1 gen 1) type-a noir, argent lecteur usb flash (mk1902705846)",lexar,128.0,57.07
3,altosight_558,altosight_677,1,intenso usb-stick 3.0 premium line 64gb usb 3.0,intenso,64.0,34.99,intenso premium line 64gb usb 3.0 (3534490)\n,intenso,64.0,41.15
4,altosight_267,altosight_712,1,toshiba exceria pro n401 64gb sd memory card 95 mb/s 4k hd - thn-n401s0640e4,toshiba,64.0,41.47,"toshiba sdhc exceria pro 64gb, silber",toshiba,64.0,59.95
5,altosight_075,altosight_274,1,datatraveler 101 g2 - lecteur flash usb - 16 go - hi-speed usb - noir,kingston,16.0,,kingston datatraveler 101 g2 16 gb usb 2.0 flash drive - black,kingston,16.0,6.35
6,altosight_108,altosight_256,1,memoria usb toshiba transmemory u202 usb 2.0 128gb en fnac.es,toshiba,128.0,39.99,toshiba transmemory u202 128gb usb flash drive usb 2.0 - white - thn-u202w1280e4,toshiba,128.0,
7,altosight_317,altosight_628,1,toshiba thn-n101k0320e6 32gb exceria pro n101 sd karte,toshiba,32.0,74.99,toshiba exceria pro - carte mã©moire flash - 32 go - sdhc uhs-ii,toshiba,32.0,
8,altosight_317,altosight_441,1,toshiba thn-n101k0320e6 32gb exceria pro n101 sd karte,toshiba,32.0,74.99,"toshiba scheda di memoria sdhc 32 gb, exceria pro, 260 mb/s, uhs-ii, u1",toshiba,32.0,111.82
9,altosight_166,altosight_806,1,"sony sf16n4 sd speicherkarte, 16 gb, 15 mbit/s, class 4",sony,16.0,12.99,tesco direct: sony sf16n4 16 gb sdhc,sony,16.0,15.46
10,altosight_034,altosight_347,1,clã© usb intenso cl&amp;eacute; usb 8gb intenso flashdrive premium line 3.0 - blister aluminium (mk935883071),intenso,8.0,10.55,"intenso 3534460 - memoria usb de 8gb,intenso,3534460",intenso,8.0,9.62
11,altosight_198,altosight_332,1,"toshiba exceria pro n401, 128 gb",toshiba,128.0,79.95,toshiba exceria pro n401 sdxc 128gb uhs-i u3 speicherkarte (bis zu 95mb/sek. lesen),toshiba,128.0,70.61
12,altosight_193,altosight_522,1,"pami?? sandisk extreme 16gb, pami?ci przeno?ne",sandisk,16.0,85.0,clã© usb sandisk cruzer extreme cz80 16 go usb 3.0 - cz80 16g extr usb3 n (1396994),sandisk,16.0,40.48
